episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,-0.2,-0.1344107769546099,0.0,0.0,0.0
2,-1.43,0.40129949897527695,-1.0,-0.1,0.0
3,-0.9667423461417477,-0.04012959322426468,-1.0,-0.1224744871391589,0.0
4,-2.2137339158784917,0.3097208266456919,-1.5,-0.1341640786499874,0.0
5,-1.9865538415834736,0.08090062439441681,-1.8,-0.15434872662825794,0.0
6,-0.4820669916292336,2.4191891700029373,-1.5,-0.11920791213585395,0.0
7,-0.9721427173962061,1.9188914895057678,-1.4285714285714286,-0.1212678125181665,0.0
8,-0.9735082444860088,0.6270021423697472,-1.375,-0.12375966910186262,0.0
9,-0.4694870630283592,1.128154531121254,-1.2222222222222223,-0.10786387432600122,0.0
10,-0.14843540704686364,0.746993079742726,-1.0,-0.07905694150420947,0.1
11,-0.36935051334082947,-0.024227494024671614,-0.9090909090909091,-0.07332355751067665,0.09090909090909091
12,-1.3767949949840652,0.6709217131137848,-1.0,-0.08164965809277261,0.08333333333333333
13,-1.387170555273928,0.6779891401529312,-1.0769230769230769,-0.08926073982886737,0.07692307692307693
14,-0.5885463545834526,-0.060148934911314456,-1.0,-0.08366600265340755,0.07142857142857142
15,-0.39356367677321724,0.0016969003481790423,-0.9333333333333333,-0.07900657071763405,0.06666666666666667
16,-0.8966214309604905,0.022116360254585743,-0.9375,-0.08195375470622296,0.0625
17,-0.9014966637673137,-0.10910243063699454,-0.9411764705882353,-0.0847998304005088,0.058823529411764705
18,1.1271298332310968,2.5102115273475647,-0.7222222222222222,-0.05134691285966868,0.1111111111111111
19,-0.8449843690810555,0.13570549059659243,-0.7368421052631579,-0.05376667608497979,0.10526315789473684
20,0.17192975341412123,0.4199448451399803,-0.65,-0.04681835639426529,0.15
21,-0.3105386800002862,-0.044851895479951054,-0.6190476190476191,-0.04545343408287927,0.14285714285714285
22,-0.315208116354454,-0.09752340445993468,-0.5909090909090909,-0.04420132605967299,0.13636363636363635
23,-0.8204792197725685,0.2265496924519539,-0.6086956521739131,-0.04646063181199804,0.13043478260869565
24,-0.32534804727453737,-0.08430696389405057,-0.5833333333333334,-0.045279235914720564,0.125
25,-0.32883885323947004,0.005000992270652205,-0.56,-0.04418360821684623,0.12
26,-0.3320503910467501,-0.08564561721868813,-0.5384615384615384,-0.04316384911847452,0.11538461538461539
27,-0.8359312260436296,0.22709228843450546,-0.5555555555555556,-0.04526787302125927,0.1111111111111111
28,-1.3410319743853698,0.39529213309288025,-0.6071428571428571,-0.04917733260193159,0.10714285714285714
29,0.17001446173377394,0.26562973856925964,-0.5517241379310345,-0.044206317119643,0.13793103448275862
30,-1.819333247334152,0.9708991423249245,-0.6333333333333333,-0.048590331082318625,0.13333333333333333
31,-0.32391662191839277,0.19961615651845932,-0.6129032258064516,-0.04761919717612312,0.12903225806451613
32,1.1892205423551714,1.5627755671739578,-0.5,-0.035355339059327376,0.15625
33,-0.29792547493805127,0.052139854058623314,-0.48484848484848486,-0.034749779421045554,0.15151515151515152
34,-0.8018859200633424,0.1520722657442093,-0.5,-0.03630192084951348,0.14705882352941177
35,-0.3056379080057222,0.02195361815392971,-0.4857142857142857,-0.03571239435163326,0.14285714285714285
36,-0.30856051153707353,-0.0689403879805468,-0.4722222222222222,-0.03515068643332085,0.1388888888888889
37,-0.31131999909067265,-0.0017590240749996156,-0.4594594594594595,-0.03461467590095316,0.13513513513513514
38,-0.31392950816099774,-0.0032179352710954845,-0.4473684210526316,-0.03410246130711418,0.13157894736842105
39,1.1962737410499154,1.36168472468853,-0.358974358974359,-0.025551870145934463,0.15384615384615385
40,-0.29369006476900783,-0.017706943515804596,-0.35,-0.02520988421229669,0.15
41,-0.2964907615233398,-0.04788992740213871,-0.34146341463414637,-0.024881272085014883,0.14634146341463414
42,-0.29915449438340147,0.02152474201284349,-0.3333333333333333,-0.024565184222025874,0.14285714285714285
43,-0.30169099806411903,0.004906329151708633,-0.32558139534883723,-0.024260844762468363,0.13953488372093023
44,-0.3041091084475918,0.008330358192324638,-0.3181818181818182,-0.023967543508926527,0.13636363636363635
45,-0.3064168638591509,-0.03999943073722534,-0.3111111111111111,-0.02368462895086928,0.13333333333333333
46,-0.30862159296040104,0.00478793476941064,-0.30434782608695654,-0.023411502173172796,0.13043478260869565
47,-0.31072999127724366,0.00025910174008458853,-0.2978723404255319,-0.02314761152001357,0.1276595744680851
48,-0.3127481880405312,0.015443845884874463,-0.2916666666666667,-0.022892447905870503,0.125
49,-0.31468180473989404,0.013891458133002743,-0.2857142857142857,-0.022645540682891915,0.12244897959183673
50,-0.31653600656460995,0.020575912669301033,-0.28,-0.022406453988256796,0.12
51,-0.3183155477191668,0.006131822534371167,-0.27450980392156865,-0.022174783507004955,0.11764705882352941
52,-0.32002481144752876,0.0011161443107994273,-0.2692307692307692,-0.021950153595617264,0.11538461538461539
53,-0.3216678454728477,0.022969186771661043,-0.2641509433962264,-0.02173221471977732,0.11320754716981132
54,-0.3232483934535284,-0.04793674504617229,-0.25925925925925924,-0.021520641166547096,0.1111111111111111
55,-0.32476992296822205,-0.07424720370909199,-0.2545454545454545,-0.02131512899688664,0.10909090909090909
56,-0.3262356504683305,0.005651758314343169,-0.25,-0.02111539420923666,0.10714285714285714
57,-0.3276485635744105,-0.02538748679216951,-0.24561403508771928,-0.02092117108892385,0.10526315789473684
58,-0.32901144104042535,0.03908884269185364,-0.2413793103448276,-0.020732210721568233,0.10344827586206896
59,-0.3303268706654209,-0.04556412436068058,-0.23728813559322035,-0.02054827965157618,0.1016949152542373
60,1.1766638364274844,0.8895289078354836,-0.18333333333333332,-0.015054374818014398,0.11666666666666667
61,-0.31642631511284763,-0.0008105782326310873,-0.18032786885245902,-0.014927695594574289,0.11475409836065574
62,-0.3178566274347322,0.03212746372446418,-0.1774193548387097,-0.014804161410676264,0.11290322580645161
63,-0.3192406069306669,0.00885449378984049,-0.1746031746031746,-0.01468364424829711,0.1111111111111111
64,-0.32058045581042327,0.005661192582920194,-0.171875,-0.014566023267928607,0.109375
65,-0.32187823919321396,-0.0027906464238185436,-0.16923076923076924,-0.014451184299194736,0.1076923076923077
66,-0.32313589560108136,-0.0006042360328137875,-0.16666666666666666,-0.014339019374961246,0.10606060606060606
67,-0.32435524650351144,-0.0038659003184875473,-0.16417910447761194,-0.014229426304616103,0.1044776119402985
68,-0.3255380050118363,-0.00855237862560898,-0.16176470588235295,-0.014122308282687044,0.10294117647058823
69,-0.3266857838104601,-0.012835250192438252,-0.15942028985507245,-0.014017573529389279,0.10144927536231885
70,-0.3278001024019102,-0.010047850486444077,-0.15714285714285714,-0.013915134960069669,0.1
71,-0.32888239373396355,-0.013082532219414134,-0.15492957746478872,-0.013814909880841528,0.09859154929577464
72,-0.32993401026945146,0.0388671945547685,-0.1527777777777778,-0.013716819707992465,0.09722222222222222
73,-0.3309562295526477,-0.005112575789098628,-0.1506849315068493,-0.01362078970900151,0.0958904109589041
74,-1.8328406078023767,1.1100592464208603,-0.1891891891891892,-0.016494577036919558,0.0945945945945946
75,-1.8355202412601632,0.952967144548893,-0.22666666666666666,-0.019143464400861603,0.09333333333333334
76,-0.3372713567687466,0.17222753912210464,-0.2236842105263158,-0.019012520149930996,0.09210526315789473
77,0.6678089501169526,0.5954378619790077,-0.19480519480519481,-0.016292802198891794,0.1038961038961039
78,-0.3271593391768484,-0.024226475652540103,-0.19230769230769232,-0.016185270337544758,0.10256410256410256
79,-0.3281475629230944,0.0028350729844532907,-0.189873417721519,-0.01607983987131994,0.10126582278481013
80,-0.3291105558186547,0.021420045755803585,-0.1875,-0.015976443237275838,0.1
81,-0.33004926489418374,-0.004203319404041395,-0.18518518518518517,-0.01587501587502381,0.09876543209876543
82,-0.33096459049629384,-0.0077568218257511035,-0.18292682926829268,-0.015775496057317526,0.0975609756097561
83,-0.8321567565890116,0.07931409776210785,-0.1927710843373494,-0.01667571627729531,0.0963855421686747
84,-1.5003165576850876,0.6022349247553684,-0.21428571428571427,-0.018382665829627505,0.09523809523809523
85,-1.3357815231308792,0.2154063731431961,-0.23529411764705882,-0.020030067669194164,0.09411764705882353
86,-0.3371252481432643,0.08366040885448456,-0.23255813953488372,-0.01990862997205606,0.09302325581395349
87,-1.5071926628920629,0.0846557278855471,-0.25287356321839083,-0.021492329184647628,0.09195402298850575
88,-1.3402102192044356,0.013558081933297217,-0.2727272727272727,-0.023025886693600082,0.09090909090909091
89,-0.34145587712731856,0.4101443812251091,-0.2696629213483146,-0.02288934554216733,0.0898876404494382
90,-1.842818856830427,-0.01991118211299181,-0.3,-0.024875549677025197,0.08888888888888889
91,-2.0166774216025267,-0.0035845732005928,-0.32967032967032966,-0.02676012690752677,0.08791208791208792
92,-0.5189249797697815,0.21895168479143923,-0.32608695652173914,-0.026603942168626205,0.08695652173913043
93,0.3118444290515223,1.326218320056796,-0.3010752688172043,-0.02423175501008509,0.0967741935483871
94,-1.675052996293008,0.15344829857349396,-0.3191489361702128,-0.02557107127473839,0.09574468085106383
95,-1.5089151189300876,0.015107274210701238,-0.3368421052631579,-0.026876525627335834,0.09473684210526316
96,-1.34111327219231,0.00802727542759385,-0.3541666666666667,-0.02815017115404796,0.09375
97,-0.3422296270390782,0.15382251143455505,-0.35051546391752575,-0.02799325918239832,0.09278350515463918
98,-1.3433190741485448,0.07475192099809647,-0.3673469387755102,-0.029230641110773392,0.09183673469387756
99,-0.3443918905880518,0.10534591972827911,-0.36363636363636365,-0.029070094986690553,0.09090909090909091
100,-1.3454393998218075,0.003076094886637293,-0.38,-0.030273358964788104,0.09
101,-1.4938818038996282,0.10360956005752087,-0.4,-0.15646967316604726,0.0
102,-1.988929729393679,0.19307774864137173,-0.4,-0.16035674514745468,0.0
103,-1.497435852167399,0.01769559970125556,-0.41,-0.1644294287438749,0.0
104,-0.9960935094137238,0.14688678458333015,-0.38,-0.16035674514745465,0.0
105,-0.49504792549405063,0.22604697197675705,-0.35,-0.15646967316604726,0.0
106,-0.4938818038996284,0.3303264081478119,-0.35,-0.15646967316604726,0.0
107,-0.4938818038996284,-0.04578946903347969,-0.34,-0.15646967316604726,0.0
108,-0.4927666588993726,0.0814827042631805,-0.33,-0.15275252316519466,0.0
109,-0.7364089245307833,0.047023373811195146,-0.33,-0.14919136877222167,0.0
110,-0.489514821263333,0.021092696581035852,-0.34,-0.14919136877222167,0.0
111,-0.7332469604746727,0.013368753095466701,-0.34,-0.14577379737113255,0.0
112,-0.4864787499222807,-0.053079476580023766,-0.32,-0.142488702369803,0.0
113,-0.484544443472095,-0.03416589833796024,-0.3,-0.1393261092038472,0.0
114,-0.4835956655223083,0.09033366665244102,-0.3,-0.1393261092038472,0.0
115,-0.48268094139330897,-0.0006195510504767299,-0.3,-0.13627702877384937,0.0
116,-0.48088310863215483,-0.059872243204154074,-0.29,-0.13333333333333333,0.0
117,-0.48000000000000004,0.00268385506933555,-0.28,-0.13333333333333333,0.0
118,-0.48000000000000004,0.0014892837789375335,-0.31,-0.13333333333333333,0.0
119,-0.4791462952580756,0.0009280582016799599,-0.3,-0.13048765086025202,0.0
120,-0.4774662776775859,0.006240271031856537,-0.31,-0.127733274731701,0.0
121,-0.4766399648390206,0.0032836555619724095,-0.31,-0.127733274731701,0.0
122,-0.4758392082603017,0.0016071534191723913,-0.31,-0.12506408613597125,0.0
123,1.0333306667281308,0.7984622865915298,-0.27,-0.11050035810359264,0.01
124,-0.45764093847609055,-0.0013250379270175472,-0.27,-0.10830277015004255,0.01
125,-1.956880095455685,0.8353419005870819,-0.3,-0.1079642147022413,0.01
126,-0.4561376938436084,0.03590160142630339,-0.3,-0.1058280981097867,0.01
127,-1.9554078007070734,0.564165435731411,-0.32,-0.10553123758045839,0.01
128,-1.9552383706500047,1.0838959962129593,-0.33,-0.105263331252891,0.01
129,-0.4545371498317007,0.14139173924922943,-0.34,-0.103193834852778,0.01
130,-0.45330858414409025,0.171770840883255,-0.31,-0.10116811229418939,0.01
131,-0.45270086737651366,-0.003521572085446678,-0.31,-0.10116811229418939,0.01
132,-0.45270086737651366,0.041301236720755696,-0.34,-0.10116811229418939,0.01
133,-0.45210553163228206,-0.04623078694567084,-0.34,-0.09918365981341756,0.01
134,-0.4515101958880505,0.016699402942322195,-0.33,-0.09918365981341756,0.01
135,-0.45092653538968286,-0.00028545498935272917,-0.33,-0.09723812481885868,0.01
136,-0.4503428748913152,-0.010512881126487628,-0.33,-0.09723812481885868,0.01
137,-0.4503428748913152,-0.02031216360774124,-0.33,-0.09723812481885868,0.01
138,-0.44977022501217856,-0.013095466187223792,-0.33,-0.0953292918884031,0.01
139,-1.449197575133042,0.34788308292627335,-0.38,-0.0953292918884031,0.01
140,-1.449197575133042,0.20795518159866333,-0.4,-0.0953292918884031,0.01
141,-2.174307111103176,0.4275560404651806,-0.43,-0.09703178656711446,0.01
142,-1.6759098224024878,0.06361846160143614,-0.45,-0.0989691682073978,0.01
143,-0.4508002864323537,1.2313874885439873,-0.45,-0.09703178656711446,0.01
144,-0.6753286079104031,0.49910402577370405,-0.45,-0.09703178656711446,0.01
145,-0.449648789169959,0.6491752564907074,-0.45,-0.09513084399941538,0.01
146,-0.6730577886757618,0.4807237188409399,-0.45,-0.09326427425370878,0.01
147,-1.671937846828338,0.10540658464499941,-0.47,-0.09326427425370878,0.01
148,-0.4474083190895942,0.09865082986652851,-0.47,-0.09143012271160514,0.01
149,-1.446858073626963,-0.0014163223095238209,-0.49,-0.09143012271160514,0.01
150,-1.446858073626963,0.006570233963429928,-0.51,-0.09143012271160515,0.01
151,-1.447408319089594,-0.01200932425854262,-0.53,-0.09326427425370878,0.01
152,-0.4474083190895942,0.17603929340839386,-0.53,-0.09143012271160515,0.01
153,-1.446858073626963,0.01673271250911057,-0.55,-0.09143012271160515,0.01
154,-1.446858073626963,0.053995056077837944,-0.57,-0.09143012271160515,0.01
155,-1.446858073626963,0.026057664770632982,-0.59,-0.09143012271160515,0.01
156,-2.117145184067408,0.28112533387029615,-0.61,-0.09143012271160515,0.01
157,-1.446858073626963,0.2834616005420685,-0.63,-0.09143012271160515,0.01
158,-1.446858073626963,0.2702777832746506,-0.65,-0.09143012271160515,0.01
159,-1.8937161472539261,0.09663638239726424,-0.67,-0.09143012271160515,0.01
160,-1.8937161472539261,0.06227560713887215,-0.72,-0.09143012271160515,0.01
161,-1.6702871104404446,0.04170025170121061,-0.74,-0.09143012271160515,0.01
162,-2.117145184067408,0.12967350624967366,-0.76,-0.09143012271160515,0.01
163,-1.6702871104404446,-0.0050657314277486876,-0.78,-0.09143012271160515,0.01
164,-2.17023913890344,0.369535842910409,-0.81,-0.09127021758825557,0.01
165,-1.4473102082208884,0.04049315396696329,-0.83,-0.0930971431480389,0.01
166,-1.9478147886611368,-0.017195514403283596,-0.86,-0.09295215238908398,0.01
167,-0.4477712914334504,0.5328422486782074,-0.86,-0.09295215238908398,0.01
168,-0.4472253170226982,0.1749173291027546,-0.86,-0.09113223768657672,0.01
169,-1.8939046596346443,0.3173835948109627,-0.88,-0.09295215238908398,0.01
170,-0.6711109627394234,-0.010075198796887008,-0.88,-0.09113223768657673,0.01
171,-0.44667934261194603,0.06581775471568108,-0.88,-0.09113223768657673,0.01
172,-1.446679342611946,0.12286584451794624,-0.9,-0.09113223768657672,0.01
173,-0.44614243950473176,-0.013885689026210457,-0.9,-0.08934256066252924,0.01
174,-0.6678799562528109,-0.005633804947137833,-0.87,-0.08758139951764463,0.01
175,-0.4445488397105868,0.052486634347587824,-0.84,-0.08758139951764463,0.01
176,-0.4445488397105868,-0.003480349314486375,-0.84,-0.08758139951764461,0.01
177,-0.4445488397105868,-0.02404698021200602,-0.86,-0.08758139951764461,0.01
178,-0.4440285541688978,-0.041895206551998854,-0.86,-0.0858471143786814,0.01
179,-0.4429955762095229,0.014140627754386514,-0.86,-0.08413813965306152,0.01
180,-0.441977334982275,0.001776715973392129,-0.86,-0.08245297695452178,0.01
181,-0.44097294964388406,0.026152070378884673,-0.86,-0.08079018852509169,0.01
182,-0.4399815738832916,0.002799611154841841,-0.86,-0.0791483910858804,0.01
183,-0.43900239234229443,0.011973549611866474,-0.85,-0.07752625005510097,0.01
184,-0.4380346172395081,0.0005260213365545496,-0.83,-0.07592247407659276,0.01
185,-0.43707748516475575,0.019255978520959616,-0.81,-0.07433580980592643,0.01
186,-0.4361302540129972,-0.004973110575519968,-0.81,-0.07276503690406427,0.01
187,-0.4351922000283857,0.060683810312184505,-0.79,-0.07120896319055472,0.01
