episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,0.0,,0.0,0.0,0.0
2,-3.0,,-1.5,-0.1,0.0
3,0.0,,-1.0,-0.07071067811865475,0.0
4,0.0,,-0.75,-0.057735026918962574,0.0
5,-3.0,,-1.2,-0.08164965809277261,0.0
6,0.0,,-1.0,-0.07071067811865475,0.0
7,-3.0,,-1.2857142857142858,-0.08660254037844387,0.0
8,0.0,,-1.125,-0.07745966692414834,0.0
9,-3.0,,-1.3333333333333333,-0.08944271909999159,0.0
10,0.0,,-1.2,-0.08164965809277261,0.0
11,-2.0,,-1.2727272727272727,-0.08962581595302718,0.0
12,-1.0,,-1.25,-0.09179850920431568,0.0
13,3.0,,-0.9230769230769231,-0.053346506936926455,0.07692307692307693
14,0.0,,-0.8571428571428571,-0.050891335780798255,0.07142857142857142
15,-3.0,,-1.0,-0.05838742081211423,0.06666666666666667
16,3.0,,-0.75,-0.03905667329424716,0.125
17,2.0,,-0.5882352941176471,-0.02982749931359468,0.17647058823529413
18,-3.0,,-0.7222222222222222,-0.036209030244097926,0.16666666666666666
19,0.0,,-0.6842105263157895,-0.03512230975228945,0.15789473684210525
20,-1.0,,-0.7,-0.036842105263157884,0.15
21,-3.0,,-0.8095238095238095,-0.04221079156784693,0.14285714285714285
22,0.0,,-0.7727272727272727,-0.04107430653494138,0.13636363636363635
23,-1.0,,-0.782608695652174,-0.042521003213538064,0.13043478260869565
24,-2.0,,-0.8333333333333334,-0.045834924851410566,0.125
25,-2.0,,-0.88,-0.04899789435061114,0.12
26,3.0,,-0.7307692307692307,-0.038206877221831095,0.15384615384615385
27,-1.0,,-0.7407407407407407,-0.03945149215762357,0.14814814814814814
28,0.0,,-0.7142857142857143,-0.0386333704643128,0.14285714285714285
29,3.0,,-0.5862068965517241,-0.030232077246257094,0.1724137931034483
30,0.0,,-0.5666666666666667,-0.029678763713201422,0.16666666666666666
31,-3.0,,-0.6451612903225806,-0.03348247650912125,0.16129032258064516
32,-3.0,,-0.71875,-0.03704380972807615,0.15625
33,0.0,,-0.696969696969697,-0.036402613925392804,0.15151515151515152
34,-2.0,,-0.7352941176470589,-0.03871899366120875,0.14705882352941177
35,2.0,,-0.6571428571428571,-0.034112466354057555,0.17142857142857143
36,0.0,,-0.6388888888888888,-0.03358111558318981,0.16666666666666666
37,-2.0,,-0.6756756756756757,-0.03575809798066394,0.16216216216216217
38,-3.0,,-0.7368421052631579,-0.038754557265078655,0.15789473684210525
39,-2.0,,-0.7692307692307693,-0.04075695729696112,0.15384615384615385
40,2.0,,-0.7,-0.03658958614425216,0.175
41,0.0,,-0.6829268292682927,-0.03608175520653696,0.17073170731707318
42,-1.0,,-0.6904761904761905,-0.0369104941446328,0.16666666666666666
43,-1.0,,-0.6976744186046512,-0.03772465911208926,0.16279069767441862
44,2.0,,-0.6363636363636364,-0.03399500518250425,0.18181818181818182
45,2.0,,-0.5777777777777777,-0.03054809462202008,0.2
46,-3.0,,-0.6304347826086957,-0.03311529506110374,0.1956521739130435
47,0.0,,-0.6170212765957447,-0.03272295758553762,0.19148936170212766
48,0.0,,-0.6041666666666666,-0.03234424243445867,0.1875
49,-1.0,,-0.6122448979591837,-0.03310121274031322,0.1836734693877551
50,-2.0,,-0.64,-0.03475797802430249,0.18
51,1.0,,-0.6078431372549019,-0.033083727565266216,0.19607843137254902
52,0.0,,-0.5961538461538461,-0.03272964279263723,0.19230769230769232
53,-1.0,,-0.6037735849056604,-0.033449680400283635,0.18867924528301888
54,0.0,,-0.5925925925925926,-0.033104235544094716,0.18518518518518517
55,0.0,,-0.5818181818181818,-0.03276927682076162,0.18181818181818182
56,0.0,,-0.5714285714285714,-0.0324442842261525,0.17857142857142858
57,1.0,,-0.543859649122807,-0.03093818538216222,0.19298245614035087
58,0.0,,-0.5344827586206896,-0.030645041002797312,0.1896551724137931
59,0.0,,-0.5254237288135594,-0.030360074542446443,0.1864406779661017
60,-1.0,,-0.5333333333333333,-0.031057716647816147,0.18333333333333332
61,0.0,,-0.5245901639344263,-0.03077776868664133,0.18032786885245902
62,0.0,,-0.5161290322580645,-0.030505256949631937,0.1774193548387097
63,-2.0,,-0.5396825396825397,-0.031959065530585626,0.1746031746031746
64,0.0,,-0.53125,-0.031683130702332384,0.171875
