episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,2.0,,2.0,0.0,1.0
2,-3.0,,-0.5,-0.02,0.5
3,0.0,,-0.3333333333333333,-0.01622214211307625,0.3333333333333333
4,0.0,,-0.25,-0.014002800840280097,0.25
5,1.0,,0.0,0.0,0.4
6,-2.0,,-0.3333333333333333,-0.0196116135138184,0.3333333333333333
7,0.0,,-0.2857142857142857,-0.018107149208503707,0.2857142857142857
8,1.0,,-0.125,-0.008137884587711594,0.375
9,2.0,,0.1111111111111111,0.006967330142916175,0.4444444444444444
10,-1.0,,0.0,0.0,0.4
11,-2.0,,-0.18181818181818182,-0.01147078669352809,0.36363636363636365
12,-2.0,,-0.3333333333333333,-0.020851441405707473,0.3333333333333333
13,-1.0,,-0.38461538461538464,-0.02487592975524973,0.3076923076923077
14,-1.0,,-0.42857142857142855,-0.028603877677367766,0.2857142857142857
15,3.0,,-0.2,-0.011895773785772161,0.3333333333333333
16,-3.0,,-0.375,-0.021266436150250076,0.3125
17,0.0,,-0.35294117647058826,-0.020604084592303354,0.29411764705882354
18,-1.0,,-0.3888888888888889,-0.023268787336008675,0.2777777777777778
19,0.0,,-0.3684210526315789,-0.022615973441293347,0.2631578947368421
20,0.0,,-0.35,-0.02201519123028536,0.25
21,0.0,,-0.3333333333333333,-0.021459876881973795,0.23809523809523808
22,2.0,,-0.22727272727272727,-0.01426244763462824,0.2727272727272727
23,-1.0,,-0.2608695652173913,-0.016653821449601067,0.2608695652173913
24,0.0,,-0.25,-0.016293763397807054,0.25
25,-3.0,,-0.36,-0.022542306524353094,0.24
26,0.0,,-0.34615384615384615,-0.022082980716536242,0.23076923076923078
27,-3.0,,-0.4444444444444444,-0.027472112789737803,0.2222222222222222
28,-1.0,,-0.4642857142857143,-0.029163820648645665,0.21428571428571427
29,-2.0,,-0.5172413793103449,-0.03254722774520597,0.20689655172413793
30,0.0,,-0.5,-0.031943828249996996,0.2
31,2.0,,-0.41935483870967744,-0.02617862404430767,0.22580645161290322
32,-1.0,,-0.4375,-0.027691572024523242,0.21875
33,-2.0,,-0.48484848484848486,-0.0307124923275015,0.21212121212121213
