episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,-3.0,,-3.0,0.0,0.0
2,0.0,,-1.5,-0.1,0.0
3,-2.0,,-1.6666666666666667,-0.1336306209562122,0.0
4,0.0,,-1.25,-0.09622504486493763,0.0
5,0.0,,-1.0,-0.07905694150420947,0.0
6,1.0,,-0.6666666666666666,-0.048507125007266595,0.16666666666666666
7,-1.0,,-0.7142857142857143,-0.05590169943749475,0.14285714285714285
8,-1.0,,-0.75,-0.06255432421712244,0.125
9,0.0,,-0.6666666666666666,-0.05773502691896256,0.1111111111111111
10,-2.0,,-0.8,-0.06859943405700353,0.1
11,0.0,,-0.7272727272727273,-0.06405126152203486,0.09090909090909091
12,-2.0,,-0.8333333333333334,-0.07293249574894728,0.08333333333333333
13,-1.0,,-0.8461538461538461,-0.07701540462154054,0.07692307692307693
14,-1.0,,-0.8571428571428571,-0.08090398349558904,0.07142857142857142
15,-3.0,,-1.0,-0.08660254037844387,0.06666666666666667
16,-1.0,,-1.0,-0.08944271909999159,0.0625
17,0.0,,-0.9411764705882353,-0.0847998304005088,0.058823529411764705
18,-3.0,,-1.0555555555555556,-0.08966654385477167,0.05555555555555555
19,3.0,,-0.8421052631578947,-0.05765999761251576,0.10526315789473684
20,-3.0,,-0.95,-0.06336854786668164,0.1
21,-3.0,,-1.0476190476190477,-0.0686161147706986,0.09523809523809523
22,-2.0,,-1.0909090909090908,-0.07249465119962123,0.09090909090909091
23,1.0,,-1.0,-0.06526300069150406,0.13043478260869565
24,0.0,,-0.9583333333333334,-0.06332940945241884,0.125
25,-2.0,,-1.0,-0.0668153104781061,0.12
26,0.0,,-0.9615384615384616,-0.06496246254184286,0.11538461538461539
27,-1.0,,-0.9629629629629629,-0.06629719900251196,0.1111111111111111
28,-3.0,,-1.0357142857142858,-0.07019096889786694,0.10714285714285714
29,-2.0,,-1.0689655172413792,-0.07318978552073227,0.10344827586206896
30,2.0,,-0.9666666666666667,-0.0628507069716713,0.13333333333333333
31,-1.0,,-0.967741935483871,-0.06396021490668313,0.12903225806451613
32,2.0,,-0.875,-0.055513611000270094,0.15625
33,-3.0,,-0.9393939393939394,-0.05892215889840219,0.15151515151515152
34,0.0,,-0.9117647058823529,-0.05775506336826226,0.14705882352941177
35,-2.0,,-0.9428571428571428,-0.06018932206810411,0.14285714285714285
36,3.0,,-0.8333333333333334,-0.049751859510499465,0.16666666666666666
37,-2.0,,-0.8648648648648649,-0.05200674506215375,0.16216216216216217
38,-1.0,,-0.868421052631579,-0.05291696994734611,0.15789473684210525
39,0.0,,-0.8461538461538461,-0.05204762457481221,0.15384615384615385
40,-2.0,,-0.875,-0.05416762627738958,0.15
41,0.0,,-0.8536585365853658,-0.05331254428547052,0.14634146341463414
42,-3.0,,-0.9047619047619048,-0.056003599238933124,0.14285714285714285
43,0.0,,-0.8837209302325582,-0.0551478062952135,0.13953488372093023
44,-3.0,,-0.9318181818181818,-0.05768928714001091,0.13636363636363635
45,0.0,,-0.9111111111111111,-0.05683491473264633,0.13333333333333333
46,0.0,,-0.8913043478260869,-0.056017411091039734,0.13043478260869565
47,-3.0,,-0.9361702127659575,-0.05839221939320312,0.1276595744680851
48,0.0,,-0.9166666666666666,-0.0575766314849235,0.125
49,0.0,,-0.8979591836734694,-0.05679429081791728,0.12244897959183673
50,1.0,,-0.86,-0.054170608713921195,0.14
51,0.0,,-0.8431372549019608,-0.05348324897378692,0.13725490196078433
52,1.0,,-0.8076923076923077,-0.051067840224008745,0.15384615384615385
53,0.0,,-0.7924528301886793,-0.05045977978988234,0.1509433962264151
54,0.0,,-0.7777777777777778,-0.049872934991536756,0.14814814814814814
55,-3.0,,-0.8181818181818182,-0.05199619992276884,0.14545454545454545
56,0.0,,-0.8035714285714286,-0.05140591585395622,0.14285714285714285
57,-1.0,,-0.8070175438596491,-0.05207806732329069,0.14035087719298245
58,0.0,,-0.7931034482758621,-0.05150688183757478,0.13793103448275862
59,0.0,,-0.7796610169491526,-0.050954087357197454,0.13559322033898305
60,-1.0,,-0.7833333333333333,-0.05161719501183807,0.13333333333333333
61,-1.0,,-0.7868852459016393,-0.05227282102428386,0.13114754098360656
62,0.0,,-0.7741935483870968,-0.05173567362710722,0.12903225806451613
63,0.0,,-0.7619047619047619,-0.051214751973158376,0.12698412698412698
64,0.0,,-0.75,-0.050709255283710994,0.125
65,0.0,,-0.7384615384615385,-0.05021843703824247,0.12307692307692308
66,0.0,,-0.7272727272727273,-0.0497416003373807,0.12121212121212122
67,-3.0,,-0.7611940298507462,-0.05153355776643972,0.11940298507462686
68,-2.0,,-0.7794117647058824,-0.0528864161768508,0.11764705882352941
69,0.0,,-0.7681159420289855,-0.05239569481386201,0.11594202898550725
70,3.0,,-0.7142857142857143,-0.04691166406505011,0.12857142857142856
71,3.0,,-0.6619718309859155,-0.042058270794417214,0.14084507042253522
72,0.0,,-0.6527777777777778,-0.041713968161981745,0.1388888888888889
