episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,0.0,,0.0,0.0,0.0
2,0.0,,0.0,0.0,0.0
3,1.0,,0.3333333333333333,0.07071067811865475,0.3333333333333333
4,-2.0,,-0.25,-0.022941573387056175,0.25
5,0.0,,-0.2,-0.020412414523193152,0.2
6,0.0,,-0.16666666666666666,-0.018569533817705187,0.16666666666666666
7,0.0,,-0.14285714285714285,-0.017149858514250885,0.14285714285714285
8,0.0,,-0.125,-0.016012815380508715,0.125
9,-3.0,,-0.4444444444444444,-0.03813850356982369,0.1111111111111111
10,-3.0,,-0.7,-0.052030590237301645,0.1
11,-2.0,,-0.8181818181818182,-0.06123724356957947,0.09090909090909091
12,1.0,,-0.6666666666666666,-0.04850712500726658,0.16666666666666666
13,-1.0,,-0.6923076923076923,-0.052311437434718666,0.15384615384615385
14,0.0,,-0.6428571428571429,-0.04992301766027062,0.14285714285714285
15,0.0,,-0.6,-0.04783446031074605,0.13333333333333333
16,0.0,,-0.5625,-0.045987851727683646,0.125
17,-1.0,,-0.5882352941176471,-0.049386479832479485,0.11764705882352941
18,2.0,,-0.4444444444444444,-0.03417430630867044,0.16666666666666666
19,0.0,,-0.42105263157894735,-0.033161066891587127,0.15789473684210525
20,-3.0,,-0.55,-0.040464154102774035,0.15
21,0.0,,-0.5238095238095238,-0.03933591969186834,0.14285714285714285
22,2.0,,-0.4090909090909091,-0.029153859677628163,0.18181818181818182
23,-1.0,,-0.43478260869565216,-0.031559720154890156,0.17391304347826086
24,-1.0,,-0.4583333333333333,-0.03386619894938936,0.16666666666666666
25,1.0,,-0.4,-0.029488391230979426,0.2
26,-1.0,,-0.4230769230769231,-0.031688316105362255,0.19230769230769232
27,0.0,,-0.4074074074074074,-0.031038295639070512,0.18518518518518517
28,0.0,,-0.39285714285714285,-0.03042670272498506,0.17857142857142858
29,-1.0,,-0.41379310344827586,-0.03249182166443294,0.1724137931034483
30,-3.0,,-0.5,-0.03744154322244884,0.16666666666666666
31,0.0,,-0.4838709677419355,-0.0367496968162519,0.16129032258064516
32,-2.0,,-0.53125,-0.04016993495047237,0.15625
33,0.0,,-0.5151515151515151,-0.039460259362623526,0.15151515151515152
34,0.0,,-0.5,-0.03878691504568341,0.14705882352941177
35,0.0,,-0.4857142857142857,-0.038146904253542016,0.14285714285714285
