episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,-1.2,,-2.0,0.0,0.0
2,-0.43000000000000005,,-1.0,-0.1,0.0
3,-1.9700891862868637,,-1.6666666666666667,-0.1336306209562122,0.0
4,-2.229168167429391,,-2.0,-0.16329931618554522,0.0
5,-0.4843758643328389,,-1.6,-0.11795356492391769,0.0
6,-0.46449034448153526,,-1.3333333333333333,-0.09701425001453316,0.0
7,-0.454402496285707,,-1.1428571428571428,-0.08432740427115679,0.0
8,-0.951902111791783,,-1.125,-0.08867963503478639,0.0
9,-0.45065740228255413,,-1.0,-0.08017837257372731,0.0
10,-1.9511895327841169,,-1.2,-0.09045340337332908,0.0
11,0.364654448528066,,-0.9090909090909091,-0.058123819371909635,0.09090909090909091
12,-2.0490614766969353,,-1.0833333333333333,-0.06749263711465145,0.08333333333333333
13,-0.02918609122436422,,-0.9230769230769231,-0.05631879053567185,0.15384615384615385
14,-0.3143140079173814,,-0.8571428571428571,-0.05366563145999496,0.14285714285714285
15,-0.3210300766922009,,-0.8,-0.051355259101309544,0.13333333333333333
16,-1.4912360464283134,,-0.875,-0.056965192113981156,0.125
17,1.1923869996698488,,-0.6470588235294118,-0.03703892663358106,0.17647058823529413
18,-0.9261471868335376,,-0.6666666666666666,-0.039223227027636795,0.16666666666666666
19,-1.7955975921080563,,-0.7894736842105263,-0.04551728467758033,0.15789473684210525
20,-0.30373831310900323,,-0.75,-0.044136741475237475,0.15
21,-0.3089605591854023,,-0.7142857142857143,-0.04287464628562722,0.14285714285714285
22,0.20555129674705205,,-0.6363636363636364,-0.038188130791298666,0.18181818181818182
23,-1.2817867895117296,,-0.6956521739130435,-0.04207613464305736,0.17391304347826086
24,-1.2901158276648808,,-0.75,-0.0457495710997814,0.16666666666666666
25,-0.7972462670835434,,-0.76,-0.04729354140091856,0.16
26,-0.3025026819787087,,-0.7307692307692307,-0.04617693698964899,0.15384615384615385
27,-1.80822877646494,,-0.8148148148148148,-0.050578053885887306,0.14814814814814814
28,-0.31360369673784116,,-0.7857142857142857,-0.049441323247304415,0.14285714285714285
29,-0.31703050944363764,,-0.7586206896551724,-0.04837794468468967,0.13793103448275862
30,-1.4807551836216666,,-0.8,-0.051355259101309544,0.13333333333333333
31,-1.8269875120478938,,-0.8709677419354839,-0.05509056958880214,0.12903225806451613
32,-1.4971627898145017,,-0.90625,-0.05778084837611093,0.125
33,-0.33583330263337074,,-0.8787878787878788,-0.056612988684619704,0.12121212121212122
34,-1.3391907729548556,,-0.9117647058823529,-0.05916849454576638,0.11764705882352941
35,-0.5130774479935231,,-0.8857142857142857,-0.058027613463908265,0.11428571428571428
36,-0.8449666771730557,,-0.8888888888888888,-0.05905707764204497,0.1111111111111111
37,-0.34742370866793926,,-0.8648648648648649,-0.057980910210044936,0.10810810810810811
38,-0.34913421917008924,,-0.8421052631578947,-0.05696150836071236,0.10526315789473684
39,-0.350755763609112,,-0.8205128205128205,-0.05599405094811335,0.10256410256410256
40,-1.0286471909909043,,-0.825,-0.05700680824439367,0.1
41,-0.532005337425463,,-0.8048780487804879,-0.05608547574243056,0.0975609756097561
42,-0.5340694920989557,,-0.7857142857142857,-0.05520741745513451,0.09523809523809523
43,-0.5360354765134169,,-0.7674418604651163,-0.054369348521312276,0.09302325581395349
44,-1.8598484206313368,,-0.8181818181818182,-0.05703518254720302,0.09090909090909091
45,0.9685344907084882,,-0.7333333333333333,-0.04805372311635709,0.1111111111111111
46,-2.0116597825242106,,-0.782608695652174,-0.05064899470950175,0.10869565217391304
47,0.6656161659751132,,-0.723404255319149,-0.04577075422945174,0.1276595744680851
