episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,-0.05,,0.0,0.0,0.0
2,-1.62,,-1.0,-0.1,0.0
3,-1.648284271247462,,-1.3333333333333333,-0.1414213562373095,0.0
4,-0.1482842712474619,,-1.0,-0.1,0.0
5,-0.20632993161855454,,-0.8,-0.08164965809277261,0.0
6,-0.1304720672422855,,-0.6666666666666666,-0.07071067811865475,0.0
7,-0.12679124626440447,,-0.5714285714285714,-0.06324555320336758,0.0
8,-1.628141044025503,,-0.75,-0.07745966692414834,0.0
9,-0.882469427137373,,-0.7777777777777778,-0.08488746876271654,0.0
10,2.1374213859113445,,-0.4,-0.0280056016805602,0.1
11,-0.8431328730305282,,-0.45454545454545453,-0.033113308926626096,0.09090909090909091
12,-0.09551036339206084,,-0.4166666666666667,-0.031559720154890156,0.08333333333333333
13,-2.348814331659561,,-0.6153846153846154,-0.042640143271122095,0.07692307692307693
14,-0.10185782962833685,,-0.5714285714285714,-0.0408248290463863,0.07142857142857142
15,-0.10220008740528082,,-0.5333333333333333,-0.03922322702763681,0.06666666666666667
16,-0.8534416865959878,,-0.5625,-0.04256853928563619,0.0625
17,-0.10459719327852826,,-0.5294117647058824,-0.04107919181288746,0.058823529411764705
18,-0.10472512400823573,,-0.5,-0.03973597071195132,0.05555555555555555
19,1.3502686054067639,,-0.3684210526315789,-0.027372166045202123,0.10526315789473684
20,-2.3419324203772627,,-0.5,-0.034921514788478915,0.1
21,-0.09425677009419212,,-0.47619047619047616,-0.033981383301529236,0.09523809523809523
22,-2.346239942501446,,-0.5909090909090909,-0.04029192227929334,0.09090909090909091
23,-0.09812541040432884,,-0.5652173913043478,-0.0392679360664615,0.08695652173913043
24,-0.14764618716759498,,-0.5416666666666666,-0.03831825211084897,0.08333333333333333
25,-0.14814749386604473,,-0.52,-0.03743429844185894,0.08
26,-0.14860317700590586,,-0.5,-0.036608826607349904,0.07692307692307693
27,-1.6499625789074552,,-0.5555555555555556,-0.04055535528269064,0.07407407407407407
