episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,-0.8,,-1.0,0.0,0.0
2,-1.6600000000000001,,-1.5,-0.3,0.0
3,-0.1844948974278318,,-1.0,-0.1224744871391589,0.0
4,-0.2170804755303294,,-0.75,-0.09045340337332909,0.0
5,-0.13309068067466584,,-0.6,-0.075,0.0
6,-0.12809307341415954,,-0.5,-0.06546536707079771,0.0
7,-0.9418754376393739,,-0.5714285714285714,-0.07844645405527362,0.0
8,-0.19552071724584041,,-0.5,-0.07071067811865475,0.0
9,-0.9445064133605382,,-0.5555555555555556,-0.08111071056538127,0.0
10,0.6337778578869238,,-0.4,-0.05,0.1
11,-0.10033718132491155,,-0.36363636363636365,-0.047140452079103175,0.09090909090909091
12,-2.4539232812460363,,-0.5833333333333334,-0.056225353023174926,0.08333333333333333
13,0.6010331121877877,,-0.46153846153846156,-0.04264014327112208,0.15384615384615385
14,-0.8383615182501245,,-0.5,-0.04751909633114915,0.14285714285714285
15,-0.09099799541583989,,-0.4666666666666667,-0.04556611884328835,0.13333333333333333
16,-2.3440010157837023,,-0.625,-0.053605626741889734,0.125
17,-2.396800107321527,,-0.7647058823529411,-0.0606128125356204,0.11764705882352941
18,-0.15126719604285385,,-0.7222222222222222,-0.05831296952211336,0.1111111111111111
19,-0.10127646738644369,,-0.6842105263157895,-0.056256501913029014,0.10526315789473684
20,-0.15233063054455012,,-0.65,-0.05440330679142934,0.1
21,-1.6541332869785343,,-0.7142857142857143,-0.059478868928860805,0.09523809523809523
22,-1.6061226779392621,,-0.7727272727272727,-0.06420811384104233,0.09090909090909091
23,-0.8583429039728464,,-0.782608695652174,-0.0664392123473006,0.08695652173913043
24,-1.6104009925859448,,-0.8333333333333334,-0.07071067811865477,0.08333333333333333
25,0.6436219148781455,,-0.76,-0.06284641415728413,0.12
26,-0.8519948957640385,,-0.7692307692307693,-0.06482037235521645,0.11538461538461539
27,0.651772262912434,,-0.7037037037037037,-0.0580846948489956,0.14814814814814814
28,-0.09385590499027466,,-0.6785714285714286,-0.05669747560502312,0.14285714285714285
29,-0.8449748256401629,,-0.6896551724137931,-0.058570741265742264,0.13793103448275862
30,-0.09603967815781664,,-0.6666666666666666,-0.05725983343138682,0.13333333333333333
31,-0.8470288305062157,,-0.6774193548387096,-0.059067114798616246,0.12903225806451613
32,2.158044507931265,,-0.5625,-0.043351474577317924,0.15625
33,-0.8368905405163456,,-0.5757575757575758,-0.04498380376198595,0.15151515151515152
34,0.6217407292591879,,-0.5294117647058824,-0.04107919181288746,0.17647058823529413
35,-1.663398003560275,,-0.5714285714285714,-0.044172610429938614,0.17142857142857143
36,-0.08371244313172531,,-0.5555555555555556,-0.04343722427630694,0.16666666666666666
37,0.6689153702281944,,-0.5135135135135135,-0.039913852510648926,0.1891891891891892
38,-2.3293458644450533,,-0.5789473684210527,-0.043515327467107956,0.18421052631578946
39,-0.08090327817157252,,-0.5641025641025641,-0.04284991629223909,0.1794871794871795
40,-0.8319559910664168,,-0.575,-0.044173628783435,0.175
41,-0.08296718341218101,,-0.5609756097560976,-0.04352814193600671,0.17073170731707318
42,1.4199067768171199,,-0.5,-0.037541922875025495,0.19047619047619047
43,-0.07726454730657982,,-0.4883720930232558,-0.037042164709922304,0.18604651162790697
44,0.6747746220336264,,-0.45454545454545453,-0.034380708208626445,0.20454545454545456
45,-1.5737898063899918,,-0.4888888888888889,-0.0368410510140594,0.2
46,-1.5756434510561252,,-0.5217391304347826,-0.03920229122308806,0.1956521739130435
47,-0.07687025498430783,,-0.5106382978723404,-0.03871975150603662,0.19148936170212766
48,-2.3281625555142353,,-0.5625,-0.041587706916203525,0.1875
49,2.173991860135641,,-0.4897959183673469,-0.034243808732120976,0.20408163265306123
50,-0.07321259025691527,,-0.48,-0.03385995887898601,0.2
51,0.6784383362988473,,-0.45098039215686275,-0.031791496881679496,0.21568627450980393
52,2.148309332855446,,-0.38461538461538464,-0.02594123185383093,0.23076923076923078
53,2.1882488844581482,,-0.32075471698113206,-0.02084047067400438,0.24528301886792453
54,-0.059693378879886766,,-0.3148148148148148,-0.020638303529762033,0.24074074074074073
55,-2.31109886888336,,-0.36363636363636365,-0.023408229439226113,0.23636363636363636
56,-0.062468385494797565,,-0.35714285714285715,-0.023186944788008416,0.23214285714285715
57,2.189384543817639,,-0.2982456140350877,-0.018768782239084573,0.24561403508771928
58,-0.05877454813354739,,-0.29310344827586204,-0.018600631144925824,0.2413793103448276
59,-0.08912296082823297,,-0.288135593220339,-0.018436919992750996,0.23728813559322035
60,0.6616607417264663,,-0.26666666666666666,-0.01711058697538658,0.25
61,0.6946426507189855,,-0.2459016393442623,-0.015823700413292764,0.26229508196721313
62,-0.05426726082814541,,-0.24193548387096775,-0.015692402775556953,0.25806451612903225
63,0.6967610413224433,,-0.2222222222222222,-0.014455283597377014,0.2698412698412698
64,-0.05221234301213272,,-0.21875,-0.014339566383921523,0.265625
65,-0.05299688400690338,,-0.2153846153846154,-0.014226584419826157,0.26153846153846155
66,2.19843478738538,,-0.16666666666666666,-0.010732345786140997,0.2727272727272727
67,-0.8003271543853198,,-0.1791044776119403,-0.01159542071304897,0.26865671641791045
68,-0.05128456561611838,,-0.17647058823529413,-0.011508706752968719,0.2647058823529412
69,-0.80221445660211,,-0.18840579710144928,-0.01235130004274785,0.2608695652173913
70,-0.053121302390746666,,-0.18571428571428572,-0.012261423091109676,0.2571428571428571
71,0.6977845529365687,,-0.16901408450704225,-0.011190057698883765,0.2676056338028169
72,-1.5516553150622852,,-0.19444444444444445,-0.01283377895839496,0.2638888888888889
73,-2.3031755913956493,,-0.2328767123287671,-0.015125608765665672,0.2602739726027397
74,0.6972136052616649,,-0.21621621621621623,-0.01407848636251508,0.2702702702702703
75,-1.5522405527514085,,-0.24,-0.015592745862995116,0.26666666666666666
76,-0.8034009339986298,,-0.25,-0.01632420483190864,0.2631578947368421
77,-0.0542180358185021,,-0.24675324675324675,-0.016215051499152717,0.2597402597402597
78,-0.805014385992172,,-0.2564102564102564,-0.01693213653696491,0.2564102564102564
79,-0.05579326152142726,,-0.25316455696202533,-0.016821577756312225,0.25316455696202533
80,-0.05639049120738429,,-0.25,-0.01671315676162189,0.25
81,-0.05697263443459929,,-0.24691358024691357,-0.016606805534831327,0.24691358024691357
82,-0.8077004488714179,,-0.25609756097560976,-0.017303448457909834,0.24390243902439024
83,0.6929689017788497,,-0.24096385542168675,-0.016309286256421793,0.25301204819277107
84,-1.5564975567885009,,-0.2619047619047619,-0.01768452178246822,0.25
85,-0.05734641283242037,,-0.25882352941176473,-0.01757695414433947,0.24705882352941178
86,-1.558172894266452,,-0.27906976744186046,-0.018909952208439166,0.2441860465116279
87,2.1633599750427743,,-0.2413793103448276,-0.01600304849007244,0.25287356321839083
88,-0.05609516286754211,,-0.23863636363636365,-0.015909547456833505,0.25
89,-0.05662634164746898,,-0.23595505617977527,-0.015817666398488875,0.24719101123595505
90,-0.0855898916817909,,-0.23333333333333334,-0.015727359070153983,0.24444444444444444
91,-0.08635394677420465,,-0.23076923076923078,-0.01563858105428061,0.24175824175824176
92,-0.8082928449721328,,-0.2391304347826087,-0.01626998207680937,0.2391304347826087
93,-0.05892103297763916,,-0.23655913978494625,-0.016179970095163903,0.23655913978494625
94,2.1625978532384207,,-0.20212765957446807,-0.013550358934431222,0.24468085106382978
95,-2.307096639274818,,-0.23157894736842105,-0.015325894550519983,0.24210526315789474
96,-0.057945118953642044,,-0.22916666666666666,-0.015243998463304242,0.23958333333333334
97,-0.058411806427042495,,-0.2268041237113402,-0.015163401369502708,0.23711340206185566
98,-2.3092219560890412,,-0.25510204081632654,-0.01685001888214174,0.23469387755102042
99,-0.06002075245228345,,-0.25252525252525254,-0.01676229831640187,0.23232323232323232
100,-1.5606986503284377,,-0.27,-0.01789256948740271,0.23
101,-0.06702414662093234,,-0.26,-0.011878277418329971,0.19
102,-0.06675131096733199,,-0.24,-0.011878277418329973,0.19
103,0.6845715056295331,,-0.23,-0.010264194434004956,0.2
104,-2.316052498035809,,-0.26,-0.014998295745037957,0.19
105,-0.06799931829801519,,-0.26,-0.014998295745037957,0.19
106,2.1842296070143394,,-0.23,-0.008853669183266275,0.2
107,-0.8135414676733066,,-0.23,-0.008853669183266277,0.2
108,-0.06354146767330651,,-0.23,-0.008853669183266275,0.2
109,-0.06481330552140592,,-0.22,-0.010212858423763304,0.19
110,-0.06608514336950533,,-0.23,-0.010212858423763306,0.19
111,-0.06584233112074223,,-0.23,-0.008998797179947834,0.19
112,-0.06559951887197914,,-0.2,-0.008998797179947834,0.19
113,-2.315979536908215,,-0.24,-0.010898887361126122,0.19
114,-0.8163595549444504,,-0.24,-0.010898887361126122,0.19
115,-0.8163595549444504,,-0.25,-0.01089888736112612,0.19
116,-0.8178517984527514,,-0.23,-0.01336010490263057,0.18
117,-0.8555131245155326,,-0.21,-0.015845412772401885,0.17
118,-0.07361460036374434,,-0.21,-0.017227589046319845,0.16
119,-0.07489103561852793,,-0.21,-0.017227589046319845,0.16
120,-0.824891035618528,,-0.22,-0.017227589046319845,0.16
121,0.6763853996362557,,-0.19,-0.015845412772401885,0.17
122,-2.322853332946948,,-0.2,-0.01842125196234016,0.17
123,-0.824847839411001,,-0.2,-0.020817945092665126,0.16
124,-2.3267851166859157,,-0.21,-0.02310763833691418,0.16
125,-1.5788512912710677,,-0.24,-0.026148818018424537,0.15
126,0.6695404727926302,,-0.22,-0.026148818018424537,0.15
127,-0.8306610180696207,,-0.24,-0.027156272329678422,0.15
128,-1.5811971823243078,,-0.26,-0.02882963929186038,0.15
129,-0.8315318557167442,,-0.26,-0.02882963929186038,0.15
130,0.6697295000637415,,-0.25,-0.02752286038943148,0.16
131,-0.829205864693378,,-0.25,-0.028506463077458237,0.16
132,-2.329602785808492,,-0.31,-0.029507465965001856,0.16
133,-0.07980298638600074,,-0.3,-0.029507465965001856,0.16
134,-0.07980298638600074,,-0.31,-0.029507465965001856,0.16
135,0.6714462647508949,,-0.28,-0.02826121028052351,0.17
136,-0.07855373524910506,,-0.28,-0.029507465965001846,0.16
137,-0.8299935701838022,,-0.3,-0.030460384954008567,0.16
138,-0.07999357018380207,,-0.27,-0.02950746596500185,0.16
139,-0.07980298638600072,,-0.27,-0.029507465965001846,0.16
140,1.4205029814381576,,-0.24,-0.027977626844210103,0.16
141,-1.5793218435876555,,-0.26,-0.0286315910940666,0.16
142,-0.07926680068581116,,-0.28,-0.027702412334989174,0.16
143,-1.5806379910714168,,-0.3,-0.030487543022095626,0.15
144,-1.5825046716866,,-0.33,-0.03203581541090473,0.15
145,-0.08406105100091554,,-0.31,-0.033269439593673025,0.14
146,-0.08512230048724545,,-0.29,-0.032342062842554246,0.14
147,-0.0849368251370217,,-0.29,-0.03234206284255424,0.14
148,-1.5864935550987695,,-0.28,-0.03512571265129341,0.13
149,-0.08805028506051736,,-0.31,-0.03512571265129341,0.13
150,2.163849814736838,,-0.28,-0.030625213664515778,0.14
151,-1.5843733116589962,,-0.31,-0.03124134463046504,0.14
152,-0.08432123144546916,,-0.34,-0.03036481259688075,0.14
153,1.4173455274779128,,-0.35,-0.027907550013556142,0.15
154,-0.8313344497250843,,-0.36,-0.02876469861186478,0.15
155,-1.5818003115046393,,-0.35,-0.030236858911331883,0.15
156,-0.8320947435645327,,-0.36,-0.030236858911331883,0.15
157,-0.08192455422723066,,-0.39,-0.029385912224821436,0.15
158,-1.5820463195343135,,-0.41,-0.030845685446746218,0.15
159,-1.5838460870671822,,-0.43,-0.03338474988916477,0.14
160,-0.08518447226061643,,-0.44,-0.03253761141391734,0.14
161,-2.3353674656884835,,-0.48,-0.034299717028501764,0.14
162,-0.0857198868114007,,-0.48,-0.034299717028501764,0.14
163,-0.0857198868114007,,-0.49,-0.03429971702850178,0.14
164,1.4157523741837434,,-0.47,-0.03193841205278114,0.15
165,-0.12416304723166867,,-0.47,-0.03193841205278114,0.15
166,-0.08277536482111245,,-0.5,-0.03193841205278114,0.15
167,-0.12416304723166867,,-0.49,-0.03193841205278114,0.15
168,0.6684308233091563,,-0.48,-0.030907471401437465,0.16
169,-0.08036298856057497,,-0.47,-0.030907471401437465,0.16
170,-0.8305245257701567,,-0.48,-0.03171515744934556,0.16
171,-0.08068606297973821,,-0.49,-0.03171515744934556,0.16
172,-0.08189349152672203,,-0.47,-0.03275230018426463,0.15
173,1.4185118878403609,,-0.42,-0.029688260613931892,0.16
174,-0.07987530424557275,,-0.43,-0.029688260613931892,0.16
175,-1.5801521474248028,,-0.43,-0.031072476510082752,0.16
176,-0.8305876313910275,,-0.43,-0.03186568044505432,0.16
177,-0.9114925443560435,,-0.44,-0.03186568044505432,0.16
178,-0.0805876313910274,,-0.43,-0.031072476510082752,0.16
179,-0.08027051490107945,,-0.43,-0.030280097995314576,0.16
180,-0.08011203919812582,,-0.43,-0.030280097995314576,0.16
181,-0.08011203919812582,,-0.43,-0.030280097995314576,0.16
182,-0.8301120391981258,,-0.43,-0.030280097995314576,0.16
183,0.6710854794068,,-0.43,-0.02929250497068537,0.17
184,-0.07771700198827414,,-0.41,-0.02929250497068537,0.17
185,-0.07755974173076464,,-0.41,-0.028506203683137887,0.17
186,0.6725975185267448,,-0.38,-0.028506203683137887,0.17
187,1.385469471435031,,-0.39,-0.02564023545856838,0.18
188,-0.07544458023138916,,-0.39,-0.026582665698377427,0.17
189,1.4249251573460155,,-0.37,-0.023791547571544325,0.18
190,-0.07351661902861772,,-0.37,-0.023791547571544322,0.18
191,-0.8604275197460093,,-0.38,-0.02455450358695747,0.18
192,-0.073821801434783,,-0.37,-0.02455450358695747,0.18
193,-0.07500633875977936,,-0.37,-0.025477190211939282,0.17
194,-0.0761908760847757,,-0.4,-0.025477190211939282,0.17
195,-0.0761908760847757,,-0.37,-0.025477190211939282,0.17
196,-0.0761908760847757,,-0.37,-0.025477190211939282,0.17
197,-0.8275321335357928,,-0.38,-0.02718347746702406,0.16
198,0.6724678664642073,,-0.34,-0.025477190211939282,0.17
199,-0.0761908760847757,,-0.34,-0.025477190211939282,0.17
200,-0.0761908760847757,,-0.32,-0.025477190211939282,0.17
201,-0.053403648941089704,,-0.32,0.0014908776472757504,0.23
202,-0.8304036489410898,,-0.33,0.0,0.23
203,-0.8042917610230537,,-0.35,-0.0014588051152682583,0.23
204,-0.05458352204610731,,-0.32,-0.0014588051152682583,0.23
205,-0.05458352204610731,,-0.32,-0.0014588051152682583,0.23
206,-0.05458352204610731,,-0.35,-0.0014588051152682583,0.23
