episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,0.0,,0.0,0.0,0.0
2,-0.1,,-0.5,-0.1,0.0
3,-0.2224744871391589,,-1.0,-0.1224744871391589,0.0
4,-0.27323015942804074,,-1.25,-0.15075567228888181,0.0
5,-0.26255907116387134,,-1.0,-0.1118033988749895,0.0
6,-0.3535935344739153,,-1.1666666666666667,-0.1299867367239363,0.0
7,-0.23799908169740064,,-1.0,-0.10801234497346435,0.0
8,-0.13963512157514812,,-0.5,-0.03162277660168379,0.125
9,-0.061272749268127834,,-0.4444444444444444,-0.029649972666444042,0.1111111111111111
10,-0.07297888490775614,,-0.7,-0.04332891224131209,0.1
11,-0.06275462948845738,,-0.36363636363636365,-0.019425717247145282,0.18181818181818182
12,-0.04957685170492164,,-0.5833333333333334,-0.03015113445777636,0.16666666666666666
13,-0.04955489760043469,,-0.38461538461538464,-0.019403763142658324,0.23076923076923078
14,-0.02620790131705604,,-0.14285714285714285,-0.006804138174397715,0.2857142857142857
15,-0.003738441476972887,,0.06666666666666667,0.0030656966974248285,0.3333333333333333
16,0.006033957583402453,,0.0625,0.002968260885977624,0.3125
17,0.005847822304582157,,0.058823529411764705,0.0028795614186045335,0.29411764705882354
18,0.0001568975680178832,,-0.05555555555555555,-0.0027226638505866503,0.2777777777777778
19,-0.00537265855060255,,-0.05263157894736842,-0.0026499947000158995,0.2631578947368421
20,-0.00013342516406839727,,0.05,0.0025165695359475023,0.3
21,0.00497245289801051,,0.047619047619047616,0.0024558833620630075,0.2857142857142857
22,0.00485526919789199,,0.045454545454545456,0.002399385835828982,0.2727272727272727
23,0.002399385835828982,,0.0,0.0,0.2608695652173913
24,0.0,,0.0,0.0,0.25
25,0.0,,0.0,0.0,0.24
26,0.0,,0.0,0.0,0.23076923076923078
27,0.0,,0.0,0.0,0.2222222222222222
28,0.00412744171706498,,0.07142857142857142,0.00412744171706498,0.25
29,0.008182977245334042,,0.06896551724137931,0.004055535528269063,0.2413793103448276
30,0.008042796642413563,,0.06666666666666667,0.0039872611141445,0.23333333333333334
31,0.007974522228289,,0.0,0.0,0.22580645161290322
32,-0.0036885555678165876,,-0.0625,-0.0036885555678165876,0.21875
33,-0.007320719129277328,,-0.06060606060606061,-0.0036321635614607406,0.21212121212121213
34,-0.0036321635614607406,,0.0,0.0,0.23529411764705882
35,0.0,,0.0,0.0,0.22857142857142856
36,0.0,,0.0,0.0,0.2222222222222222
37,-0.003289758474798845,,-0.05405405405405406,-0.003289758474798845,0.21621621621621623
38,-0.011082307995342107,,-0.13157894736842105,-0.0077925495205432615,0.21052631578947367
39,-0.023276496562688515,,-0.1282051282051282,-0.007691397521601992,0.20512820512820512
40,-0.01677397015125208,,-0.15,-0.00908257262965009,0.2
41,-0.02207566086182519,,-0.21951219512195122,-0.012993088232175102,0.1951219512195122
42,-0.02582798574889862,,-0.21428571428571427,-0.01283489751672352,0.19047619047619047
43,-0.025517245014173205,,-0.20930232558139536,-0.012682347497449686,0.18604651162790697
44,-0.028880824912130853,,-0.2727272727272727,-0.016198477414681167,0.18181818181818182
45,-0.029284075479436508,,-0.2222222222222222,-0.01308559806475534,0.2
46,-0.02602577159882209,,-0.21739130434782608,-0.012940173534066748,0.1956521739130435
47,-0.02911703744470396,,-0.2765957446808511,-0.01617686391063721,0.19148936170212766
48,-0.032179970140409096,,-0.2708333333333333,-0.016003106229771885,0.1875
49,-0.029165672471097085,,-0.22448979591836735,-0.0131625662413252,0.20408163265306123
50,-0.05251571756004959,,-0.22,-0.013028018836073987,0.2
51,-0.02340787531825054,,-0.17647058823529413,-0.010379856482176552,0.21568627450980393
52,-0.021775914128140346,,-0.19230769230769232,-0.011396057645963796,0.21153846153846154
53,-0.0226827106056258,,-0.18867924528301888,-0.011286652959662007,0.20754716981132076
54,-0.022466992847160958,,-0.18518518518518517,-0.011180339887498949,0.2037037037037037
55,-0.018686853465063196,,-0.12727272727272726,-0.0075065135775642475,0.21818181818181817
56,-0.01494532856245577,,-0.125,-0.007438814984891522,0.21428571428571427
57,-0.014811730597043767,,-0.12280701754385964,-0.007372915612152246,0.21052631578947367
58,-0.01468165276177921,,-0.1206896551724138,-0.0073087371496269645,0.20689655172413793
59,-0.01455494312734949,,-0.11864406779661017,-0.007246205977722525,0.2033898305084746
60,-0.0195548109062245,,-0.08333333333333333,-0.005062398950779451,0.21666666666666667
61,-0.02020782379507817,,-0.08196721311475409,-0.005020626942739815,0.21311475409836064
62,-0.010981414719523842,,-0.0967741935483871,-0.005960787776784026,0.20967741935483872
63,-0.010870777986273311,,-0.07936507936507936,-0.004909990209489284,0.2222222222222222
64,-0.009781378348564095,,-0.078125,-0.004871388139074811,0.21875
65,-0.00970507058430313,,-0.07692307692307693,-0.004833682445228318,0.2153846153846154
66,-0.015409057408088782,,-0.09090909090909091,-0.005741692517632146,0.21212121212121213
67,-0.008513299030653957,,-0.04477611940298507,-0.002771606513021811,0.22388059701492538
68,-0.008143328990268314,,-0.08823529411764706,-0.005371722477246503,0.22058823529411764
69,-0.009801534426861092,,-0.07246376811594203,-0.004429811949614588,0.2318840579710145
70,-0.011468714150656922,,-0.04285714285714286,-0.0026090902514277464,0.24285714285714285
71,-0.0051997290521819456,,-0.04225352112676056,-0.002590638800754199,0.23943661971830985
72,-0.005163212159533393,,-0.041666666666666664,-0.0025725733587791937,0.2361111111111111
73,-0.00756945128541827,,-0.0821917808219178,-0.0049968779266390765,0.2328767123287671
74,-0.009959794596493727,,-0.08108108108108109,-0.004962916669854651,0.22972972972972974
75,-0.00989255525432629,,-0.08,-0.0049296385844716396,0.22666666666666666
76,-0.009826659653215556,,-0.07894736842105263,-0.004897021068743917,0.2236842105263158
77,-0.014659084691593032,,-0.07792207792207792,-0.004865042554105198,0.22077922077922077
78,-0.009698724999333518,,-0.07692307692307693,-0.004833682445228319,0.21794871794871795
79,-0.008824625300316451,,-0.06329113924050633,-0.003990942855088131,0.22784810126582278
80,-0.015938710109165817,,-0.0625,-0.003965881543901424,0.225
81,-0.00790716804474349,,-0.06172839506172839,-0.003941286500842066,0.2222222222222222
82,-0.007066286500842067,,-0.04878048780487805,-0.0031250000000000006,0.23170731707317074
83,-0.010865930911724978,,-0.07228915662650602,-0.004615930911724977,0.2289156626506024
84,-0.009204245589136212,,-0.07142857142857142,-0.004588314677411235,0.2261904761904762
85,-0.009898664556462274,,-0.08235294117647059,-0.005310349879051039,0.2235294117647059
86,-0.011331688172363479,,-0.09302325581395349,-0.00602133829331244,0.22093023255813954
87,-0.011244637134036568,,-0.08045977011494253,-0.005223298840724129,0.22988505747126436
88,-0.011842556533413588,,-0.10227272727272728,-0.0066192576926894595,0.22727272727272727
89,-0.014596557979727033,,-0.12359550561797752,-0.007977300287037574,0.2247191011235955
90,-0.023887178287063777,,-0.12222222222222222,-0.007932577712988628,0.2222222222222222
91,-0.01778587049463156,,-0.15384615384615385,-0.009853292781642934,0.21978021978021978
92,-0.0209686930691775,,-0.17391304347826086,-0.011115400287534567,0.21739130434782608
93,-0.022170144546541252,,-0.17204301075268819,-0.011054744259006684,0.21505376344086022
94,-0.022049814762115864,,-0.1702127659574468,-0.010995070503109178,0.2127659574468085
95,-0.02259815243401662,,-0.17894736842105263,-0.011603081930907443,0.21052631578947367
96,-0.023806541876296716,,-0.1875,-0.012203459945389272,0.20833333333333334
97,-0.024342920640096313,,-0.18556701030927836,-0.012139460694707041,0.20618556701030927
98,-0.023511016150307554,,-0.17346938775510204,-0.01137155545560051,0.21428571428571427
99,-0.022684794210479205,,-0.1717171717171717,-0.011313238754878696,0.21212121212121213
100,-0.02187619341527562,,-0.16,-0.010562954660396924,0.22
101,-0.055669445175535556,,-0.16,-0.02853650727676748,0.29
102,-0.058046907072325266,,-0.18,-0.029510399795557786,0.29
103,-0.05800793587694973,,-0.16,-0.028497536081391946,0.29
104,-0.05836691270314898,,-0.14,-0.029869376621757038,0.28
105,-0.058715562029963586,,-0.14,-0.02884618540820655,0.28
106,-0.06011987902082047,,-0.13,-0.03127369361261392,0.27
107,-0.06398624015223708,,-0.13,-0.032712546539623154,0.26
108,-0.06726728356287756,,-0.19,-0.0345547370232544,0.26
109,-0.07228469975678307,,-0.22,-0.037729962733528674,0.25
110,-0.07447043440923212,,-0.19,-0.036740471675703455,0.25
111,-0.0675272420375416,,-0.19,-0.030786770361838144,0.26
112,-0.06282523962036908,,-0.16,-0.03203846925853093,0.25
