episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,0.0,,3.0,0.0,1.0
2,0.05,,1.0,0.05,0.5
3,0.0676776695296637,,0.3333333333333333,0.017677669529663688,0.3333333333333333
4,0.03292752656292415,,0.25,0.015249857033260466,0.25
5,-0.005162557489932686,,-0.4,-0.020412414523193152,0.2
6,-0.05576775358252053,,-0.6666666666666666,-0.035355339059327376,0.16666666666666666
7,-0.058639854830517354,,-0.42857142857142855,-0.023284515771189982,0.2857142857142857
8,-0.03728731661147008,,-0.25,-0.014002800840280097,0.375
9,-0.008359474360449093,,0.1111111111111111,0.005643326479831003,0.4444444444444444
10,0.010996203755552896,,0.1,0.005352877275721893,0.4
11,0.015808858182242074,,0.09090909090909091,0.005103103630798288,0.36363636363636365
12,-0.003633936935812092,,-0.16666666666666666,-0.00873704056661038,0.3333333333333333
13,-0.02997408113322076,,-0.23076923076923078,-0.0125,0.3076923076923077
14,-0.047360679774997895,,-0.42857142857142855,-0.022360679774997894,0.2857142857142857
15,-0.07533998133478552,,-0.6,-0.03061862178478973,0.26666666666666666
16,-0.09903369087050218,,-0.75,-0.03779644730092272,0.25
17,-0.07431128446793381,,-0.7058823529411765,-0.03651483716701108,0.23529411764705882
18,-0.06836212575559046,,-0.6111111111111112,-0.03184728858857938,0.2777777777777778
19,-0.06276275709114323,,-0.5789473684210527,-0.030915468502563846,0.2631578947368421
20,-0.0637460078124388,,-0.6,-0.032830539309874965,0.25
21,-0.0696981850303556,,-0.6666666666666666,-0.03686764572048064,0.23809523809523808
22,-0.06284545597783048,,-0.5,-0.025977810257349847,0.2727272727272727
23,-0.10330303899284388,,-0.4782608695652174,-0.025369608220794343,0.2608695652173913
24,-0.04499520506153289,,-0.375,-0.01962559684073855,0.2916666666666667
25,-0.060571265317038145,,-0.4,-0.021320071635561044,0.28
26,-0.042207871292778885,,-0.38461538461538464,-0.02088779965721784,0.2692307692307692
27,-0.045141362160851135,,-0.4444444444444444,-0.024253562503633294,0.25925925925925924
28,-0.07426611793263636,,-0.4642857142857143,-0.02575899292536978,0.25
29,-0.05104106277686324,,-0.4482758620689655,-0.025282069851493456,0.2413793103448276
