episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,0.0,-0.12902079461491667,0.0,0.0,0.0
2,0.1,-0.0249374620616436,1.0,0.1,0.5
3,0.17071067811865476,-0.10047970194136724,0.6666666666666666,0.07071067811865475,0.3333333333333333
4,0.16693572298359238,0.02034051006194204,1.25,0.09622504486493763,0.5
5,0.2128917115316043,-0.09227787575218827,1.4,0.11666666666666667,0.6
6,0.35393787116443876,0.004565777101864454,1.3333333333333333,0.12060453783110543,0.6666666666666666
7,0.3772918391501652,-0.07077557543137392,1.4285714285714286,0.1360827634879543,0.7142857142857143
8,0.38687339391118947,-0.0793024793577688,1.25,0.11470786693528087,0.625
9,0.21572312139050195,-0.08550362009555101,1.1111111111111112,0.10101525445522108,0.5555555555555556
10,0.2124324573614522,-0.08312993042636663,1.2,0.11141720290623111,0.6
11,0.17735525024580984,0.006309551099548116,0.9090909090909091,0.06593804733957871,0.5454545454545454
12,0.10907115662095407,0.004051011721458053,0.6666666666666666,0.04313310928137536,0.5
13,0.07116926809233523,-0.06462758019097237,0.46153846153846156,0.028036158810959867,0.46153846153846156
14,0.044760999011101685,0.0012945423077326268,0.2857142857142857,0.016724840200141814,0.42857142857142855
15,0.02436087568335394,0.006171945424284786,0.13333333333333333,0.007636035483212125,0.4
16,0.007636035483212125,0.0024101659073494375,0.0,0.0,0.375
17,-0.0066154120165562245,0.0026180496060987934,-0.11764705882352941,-0.0066154120165562245,0.35294117647058826
18,-0.01909106924759233,-0.04634750916011399,-0.2222222222222222,-0.012475657231036105,0.3333333333333333
19,-0.03023055591620157,-0.048821533273439854,-0.3157894736842105,-0.017754898685165464,0.3157894736842105
20,-0.05808310328965494,-2.581050891148351e-05,-0.4,-0.022573305919324015,0.3
21,-0.04728888255647305,0.008694492600625381,-0.42857142857142855,-0.024715576637149038,0.2857142857142857
22,-0.07840863861185884,0.014541800445840636,-0.5,-0.028977485337560772,0.2727272727272727
23,-0.09091127890174214,0.002001397670635008,-0.5652173913043478,-0.032956308226620594,0.2608695652173913
24,-0.10260729048550277,0.004013901057381641,-0.625,-0.03669467403226158,0.25
25,-0.11494748675308807,-0.029105788213200867,-0.72,-0.04155813868856491,0.24
26,-0.08217457010515208,0.026785725611262023,-0.6923076923076923,-0.040616431416587176,0.23076923076923078
27,-0.16566008968359386,0.0005424489208962768,-0.7407407407407407,-0.043810795433832345,0.2222222222222222
28,-0.13448316638031824,0.007024865721177775,-0.7857142857142857,-0.04686157551265354,0.21428571428571427
29,-0.09664596433135489,-0.06377456614518451,-0.8275862068965517,-0.04978438881870135,0.20689655172413793
30,-0.15216114825148047,0.04915557833737694,-0.8666666666666667,-0.05259237061407777,0.2
31,-0.10788904600141326,-0.06435214214434382,-0.9032258064516129,-0.055296675387335494,0.1935483870967742
32,-0.11166317000203746,0.011813873425126076,-0.90625,-0.056366494614701966,0.1875
33,-0.11528865351310416,-0.0011366243634256534,-0.9393939393939394,-0.05892215889840219,0.18181818181818182
34,-0.12031817183885643,-0.005240633414359763,-0.9705882352941176,-0.061396012940454235,0.17647058823529413
35,-0.12519074189089704,-0.06569603181560524,-1.0,-0.0637947289504428,0.17142857142857143
36,-0.25115300393577195,-0.015495409606955945,-0.9444444444444444,-0.05976881708444354,0.19444444444444445
37,-0.11282287790907324,-0.10357914216001518,-0.8648648648648649,-0.0530540608246297,0.21621621621621623
38,-0.10025281898919614,-0.10307772437226959,-0.7894736842105263,-0.047198758164566444,0.23684210526315788
39,-0.09533169045301805,-0.00431568671046989,-0.7948717948717948,-0.048132932288451606,0.23076923076923078
40,-0.09718407944724888,-0.0646997989351803,-0.8,-0.04905114715879727,0.225
41,-0.09530435094184243,0.0019972637892351486,-0.7560975609756098,-0.04625320378304516,0.24390243902439024
42,-0.09341412945793622,0.0051472263294272125,-0.7619047619047619,-0.04716092567489105,0.23809523809523808
43,-0.09521464879124815,0.005201893916819245,-0.7674418604651163,-0.0480537231163571,0.23255813953488372
44,-0.09698598442914641,0.00683915926492773,-0.7727272727272727,-0.04893226131278931,0.22727272727272727
45,-0.09872942071993064,0.02510750386863947,-0.7777777777777778,-0.04979715940714133,0.2222222222222222
46,-0.09698298684767769,0.005975662867058418,-0.7391304347826086,-0.04718582744053636,0.2391304347826087
47,-0.09522578192456381,0.0009051916822500061,-0.7446808510638298,-0.04803995448402745,0.23404255319148937
48,-0.09692124467744861,0.005988823890220374,-0.75,-0.04888129019342116,0.22916666666666666
49,-0.09859164257171361,0.002786944747413145,-0.7551020408163265,-0.04971035237829245,0.22448979591836735
50,-0.10023797866716093,0.001468841903260909,-0.76,-0.05052762628886848,0.22
51,-0.09402015154245555,-0.050530970189356594,-0.6862745098039216,-0.04349252525358708,0.23529411764705882
52,-0.08488213962519567,0.00047870503840385936,-0.6538461538461539,-0.04138961437160859,0.25
53,-0.08357360030677441,0.0002678979790289304,-0.660377358490566,-0.04218398593516583,0.24528301886792453
54,-0.0823651399711664,0.0016719367413315922,-0.6296296296296297,-0.04018115403600057,0.25925925925925924
55,-0.08114555555464627,0.001336723165877629,-0.6363636363636364,-0.0409644015186457,0.2545454545454545
56,-0.08270090213706086,0.007611313283632626,-0.6428571428571429,-0.04173650061841515,0.25
57,-0.08423436646580934,0.002505046194528404,-0.6491228070175439,-0.0424978658473942,0.24561403508771928
58,-0.08574675393996281,0.008577501474064775,-0.6551724137931034,-0.04324888809256862,0.2413793103448276
59,-0.08458515509317815,0.08081681560724974,-0.6271186440677966,-0.04133626700060954,0.2542372881355932
60,-0.08341328832334363,0.010088890441693366,-0.6333333333333333,-0.042077021322734096,0.25
61,-0.08488508271871334,0.008391908544581383,-0.639344262295082,-0.04280806139597924,0.2459016393442623
62,-0.08378451521328584,0.002226885721029248,-0.6129032258064516,-0.0409764538173066,0.25806451612903225
63,-0.08019637537754193,0.0007669433834962547,-0.5873015873015873,-0.03921992156023532,0.2698412698412698
64,-0.07675251609050877,5.502182057171012e-05,-0.5625,-0.03753259453027345,0.28125
65,-0.07344183685325384,4.891092567049782e-05,-0.5384615384615384,-0.03590924232298039,0.2923076923076923
66,-0.07025442883775557,0.00015915218045847723,-0.5151515151515151,-0.03434518651477517,0.30303030303030304
67,-0.06940835712668783,5.7350314818904735e-05,-0.5223880597014925,-0.035063170611912664,0.29850746268656714
68,-0.07083495912018506,0.00010113481516782485,-0.5294117647058824,-0.035771788508272395,0.29411764705882354
69,-0.07224313818258088,0.001311479318246711,-0.5362318840579711,-0.03647134967430849,0.2898550724637681
70,-0.07363349773737202,0.0003855979230138473,-0.5428571428571428,-0.03716214806306352,0.2857142857142857
71,-0.07500661119613634,0.00023552871971332934,-0.5492957746478874,-0.037844463133072825,0.28169014084507044
72,-0.07708115859668098,-0.02448948481469415,-0.5694444444444444,-0.039236695463608154,0.2777777777777778
73,-0.07695240978384385,0.0005645472301694099,-0.547945205479452,-0.0377157143202357,0.2876712328767123
74,-0.07608713298494592,0.00033750220563888433,-0.5540540540540541,-0.038371418664710215,0.28378378378378377
75,-0.0773909930855762,0.00015153194362937938,-0.56,-0.039019574420865996,0.28
76,-0.07656794407578373,0.0004208956961520016,-0.5394736842105263,-0.03754836965491773,0.2894736842105263
77,-0.0757365004462164,-0.04247782120364718,-0.5454545454545454,-0.038188130791298666,0.2857142857142857
78,-0.0770088763965435,5.8225050452165306e-05,-0.5512820512820513,-0.03882074560524482,0.28205128205128205
79,-0.07826716410536647,0.00183222689190643,-0.5569620253164557,-0.03944641850012164,0.27848101265822783
80,-0.07951176346088802,0.0006516752987408836,-0.5625,-0.04006534496076638,0.275
81,-0.07984320916955287,0.010437957644626294,-0.5555555555555556,-0.0397778642087865,0.2716049382716049
82,-0.08016605151347828,0.004710076813353226,-0.5609756097560976,-0.04038818730469177,0.2682926829268293
83,-0.08138037002989314,0.007341023854678497,-0.5662650602409639,-0.040992182725201366,0.26506024096385544
84,-0.08258220231800428,0.007620994001626968,-0.5714285714285714,-0.04159001959280291,0.2619047619047619
85,-0.08377187970662345,0.0012716126366285607,-0.5764705882352941,-0.04218186011382054,0.25882352941176473
86,-0.08494972006604612,0.027426839340478182,-0.5813953488372093,-0.04276785995222559,0.2558139534883721
87,-0.08411843901508151,0.00044781541555494186,-0.5632183908045977,-0.04135057906285593,0.26436781609195403
88,-0.0813283753420221,0.0026805964444065467,-0.5454545454545454,-0.03997779627916617,0.2727272727272727
89,-0.07862461686044095,0.006450060696806759,-0.5280898876404494,-0.03864682058127477,0.2808988764044944
90,-0.11651686819018636,-0.005459963130610035,-0.5333333333333333,-0.039223227027636816,0.2777777777777778
91,-0.07715359795842927,0.011050724890083075,-0.5164835164835165,-0.037930370930792455,0.2857142857142857
92,-0.07460501121213783,0.003349661245010793,-0.5,-0.036674640281345386,0.29347826086956524
93,-0.07212859972487529,0.0261067901737988,-0.4838709677419355,-0.03545395944352991,0.3010752688172043
94,-0.0714751016832086,0.00715420268534217,-0.48936170212765956,-0.03602114223967869,0.2978723404255319
95,-0.07260394180173253,0.05307001248002052,-0.49473684210526314,-0.03658279956205384,0.29473684210526313
96,-0.07197579297813139,0.008992520975880325,-0.4791666666666667,-0.03539299341607756,0.3020833333333333
97,-0.06962763448883769,0.0038611194031545892,-0.4639175257731959,-0.034234641072760134,0.30927835051546393
98,-0.06734075067134665,0.00497085131064523,-0.4489795918367347,-0.03310610959858652,0.3163265306122449
99,-0.06676514276347653,0.004217556212097406,-0.45454545454545453,-0.03365903316489001,0.31313131313131315
100,-0.06786568619761088,0.0007815558474248974,-0.46,-0.03420665303272087,0.31
101,-0.004105426417445893,0.0006678632271359675,-0.45,-0.0010260323552092321,0.47
102,-0.0020520647104184642,0.00030589343805331737,-0.46,-0.0010260323552092321,0.47
103,-0.003089313890509808,0.003968997290940024,-0.46,-0.002063281535300576,0.46
104,-0.004126563070601152,0.001969920878764242,-0.5,-0.002063281535300576,0.46
105,-0.002063281535300576,0.0018301672826055437,-0.51,0.0,0.47
106,0.0,0.00037742794665973634,-0.53,0.0,0.47
107,0.002063281535300576,0.003291338187409565,-0.54,0.002063281535300576,0.48
108,0.003089313890509808,0.0018141144537366927,-0.55,0.0010260323552092321,0.48
109,0.0020520647104184642,0.0005336776430340251,-0.56,0.0010260323552092321,0.48
110,0.0020520647104184642,0.0010824681266967673,-0.57,0.0010260323552092321,0.48
111,0.0020520647104184642,4.323588200350059e-05,-0.54,0.0010260323552092321,0.48
112,0.0010260323552092321,0.0001641676662984537,-0.52,0.0,0.47
113,-0.0010260323552092321,-0.02495098445797339,-0.51,-0.0010260323552092321,0.47
114,0.0,0.0002191387120547006,-0.48,0.0010260323552092321,0.48
115,0.0020520647104184642,0.0005054706198279746,-0.47,0.0010260323552092321,0.48
116,0.0020520647104184642,0.0043442649250664545,-0.45,0.0010260323552092321,0.48
117,0.004105426417445893,0.002227160584880039,-0.42,0.0030793940622366608,0.49
118,0.0061587881244733215,0.0003896731709573942,-0.41,0.0030793940622366608,0.49
119,0.007165283294463845,7.908752741059288e-05,-0.38,0.004085889232227184,0.5
120,0.008171778464454368,0.0003190563584496431,-0.37,0.004085889232227185,0.5
121,0.01022112796668021,0.0002769648087337373,-0.35,0.006135238734453025,0.51
122,0.01432755793964343,0.0014914752173353918,-0.32,0.008192319205190406,0.52
123,0.016384638410380813,0.001866831315055606,-0.29,0.008192319205190406,0.52
124,0.016384638410380813,0.0009215236757427192,-0.26,0.008192319205190405,0.52
125,0.016384638410380813,0.0005376446861191653,-0.24,0.008192319205190406,0.52
126,0.018452102726041947,0.0005409684199548792,-0.23,0.01025978352085154,0.53
127,0.018452102726041947,0.0003010342757079343,-0.22,0.008192319205190406,0.52
128,0.016384638410380813,0.00042517752245885276,-0.19,0.008192319205190406,0.52
129,0.016384638410380813,0.0009950372332241386,-0.18,0.008192319205190406,0.52
130,0.014327557939643432,0.0008323644651682116,-0.17,0.006135238734453026,0.51
131,0.010221127966680212,0.00023562610658700578,-0.16,0.004085889232227185,0.5
132,0.00817177846445437,0.002895846715546213,-0.14,0.004085889232227185,0.5
133,0.006127556076121884,-0.06087593513075262,-0.13,0.002041666843894699,0.49
134,0.005121060906131359,0.002990516622958239,-0.11,0.0030793940622366608,0.49
135,0.0061587881244733215,0.008235052693635225,-0.08,0.0030793940622366608,0.49
136,0.0061587881244733215,-0.0375627353478194,-0.1,0.0030793940622366608,0.49
137,0.0061587881244733215,0.003068057238124311,-0.13,0.0030793940622366608,0.49
138,0.008216049031611801,0.0012936867242387962,-0.14,0.005136654969375141,0.5
139,0.010273309938750282,0.020786324748769403,-0.14,0.005136654969375141,0.5
140,0.012337097001915369,0.0008800599025562406,-0.12,0.007200442032540229,0.51
141,0.01233709700191537,0.0011236657301196828,-0.14,0.005136654969375142,0.5
142,0.010273309938750284,0.009513305965811014,-0.12,0.005136654969375141,0.5
143,0.010273309938750282,0.001663383751292713,-0.1,0.005136654969375141,0.5
144,0.012337097001915369,0.0016679997424944304,-0.08,0.007200442032540229,0.51
