episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,-1.0,,-2.0,0.0,0.0
2,-3.0,,-2.5,-0.5,0.0
3,-2.0,,-2.3333333333333335,-0.4949747468305833,0.0
4,-2.0,,-1.75,-0.16059101370939322,0.0
5,-2.0,,-1.4,-0.11666666666666665,0.0
6,-2.0,,-1.6666666666666667,-0.1336306209562122,0.0
7,-2.0,,-1.8571428571428572,-0.14912022701586516,0.0
8,-2.0,,-1.625,-0.12339053944782488,0.0
9,-2.0,,-1.7777777777777777,-0.13522468075656263,0.0
10,-3.0,,-1.7,-0.13397876906064712,0.0
11,-2.0,,-1.8181818181818181,-0.1435916317235476,0.0
12,-2.0,,-1.6666666666666667,-0.12700012700019053,0.0
13,-3.0,,-1.5384615384615385,-0.1150870675296872,0.0
14,-2.0,,-1.5714285714285714,-0.1214746786823312,0.0
15,-1.8666666666666667,,-1.4,-0.0996615895540124,0.06666666666666667
16,-1.7416666666666667,,-1.4375,-0.10508968234853937,0.0625
17,-1.7573529411764706,,-1.4705882352941178,-0.11027027284780773,0.058823529411764705
18,-1.7712418300653594,,-1.3888888888888888,-0.10371747670562781,0.05555555555555555
19,-1.7836257309941521,,-1.3157894736842106,-0.09820927516479828,0.05263157894736842
20,-1.694736842105263,,-1.15,-0.07705289916987292,0.1
21,-1.6095238095238096,,-1.0952380952380953,-0.07415497622520353,0.09523809523809523
22,-1.6277056277056277,,-1.0454545454545454,-0.07156120999801133,0.09090909090909091
23,-1.6442687747035571,,-1.0,-0.06922186552431729,0.08695652173913043
24,-1.6594202898550725,,-1.0833333333333333,-0.07371623702608655,0.08333333333333333
25,-2.506666666666667,,-1.04,-0.07145446229081066,0.08
26,-1.6861538461538461,,-1.0,-0.06938886664887109,0.07692307692307693
27,-1.698005698005698,,-0.9629629629629629,-0.06749263711465145,0.07407407407407407
28,-2.560846560846561,,-1.0357142857142858,-0.07137144033475365,0.07142857142857142
29,-1.7192118226600985,,-1.0689655172413792,-0.0744023809142845,0.06896551724137931
30,-1.728735632183908,,-1.0333333333333334,-0.07248611789946814,0.06666666666666667
31,-1.6731182795698925,,-0.9354838709677419,-0.0623115811760633,0.0967741935483871
32,-1.5564516129032258,,-0.84375,-0.05396762913087059,0.125
33,-1.5075757575757576,,-0.8181818181818182,-0.05291067161269939,0.12121212121212122
