episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,-1.0,,-2.0,0.0,0.0
2,-2.0,,-1.0,-0.1,0.0
3,-2.0,,-0.6666666666666666,-0.07071067811865475,0.0
4,-2.0,,-0.5,-0.05773502691896258,0.0
5,-1.6,,0.2,0.0125,0.2
6,-1.2666666666666666,,-0.16666666666666666,-0.00995037190209989,0.16666666666666666
7,-1.380952380952381,,-0.42857142857142855,-0.025537695922762456,0.14285714285714285
8,-1.4642857142857144,,-0.375,-0.023791547571544325,0.125
9,-1.5277777777777777,,-0.6666666666666666,-0.0392232270276368,0.1111111111111111
10,-1.577777777777778,,-0.6,-0.03692744729379982,0.1
11,-1.4363636363636365,,-0.45454545454545453,-0.0281271975231506,0.18181818181818182
12,-1.1363636363636362,,-0.16666666666666666,-0.009166984970282113,0.25
13,-1.0384615384615383,,-0.38461538461538464,-0.020211302086361082,0.23076923076923078
14,-1.10989010989011,,-0.35714285714285715,-0.01944774603961035,0.21428571428571427
15,-1.1714285714285713,,-0.3333333333333333,-0.018764665626020034,0.2
16,-1.7,,-0.1875,-0.010357150196395881,0.25
17,-1.0294117647058822,,-0.35294117647058826,-0.01880517422421668,0.23529411764705882
18,-1.084967320261438,,-0.3333333333333333,-0.018257418583505537,0.2222222222222222
19,-1.6900584795321638,,-0.42105263157894735,-0.023190841426097935,0.21052631578947367
20,-1.1789473684210527,,-0.4,-0.022573305919324015,0.2
21,-1.723809523809524,,-0.3333333333333333,-0.018995387394523996,0.23809523809523808
22,-0.9783549783549784,,-0.22727272727272727,-0.01275360818732118,0.2727272727272727
23,-1.300395256916996,,-0.08695652173913043,-0.004667600280093366,0.30434782608695654
24,-0.8079710144927535,,-0.20833333333333334,-0.010882430135158827,0.2916666666666667
25,-0.8566666666666666,,-0.32,-0.01637776998064686,0.28
26,-0.9015384615384615,,-0.4230769230769231,-0.02132407728550443,0.2692307692307692
27,-0.9430199430199431,,-0.48148148148148145,-0.024445765969449546,0.25925925925925924
28,-1.462962962962963,,-0.4642857142857143,-0.023979689716173855,0.25
29,-1.0172413793103448,,-0.5517241379310345,-0.028178798147053874,0.2413793103448276
30,-1.050574712643678,,-0.6,-0.030887920037456107,0.23333333333333334
31,-1.0817204301075267,,-0.5806451612903226,-0.030338993810845892,0.22580645161290322
32,-1.1108870967741935,,-0.5625,-0.02981833028651572,0.21875
33,-1.7007575757575757,,-0.6363636363636364,-0.03342186823915959,0.21212121212121213
