episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,-1.0,0.0043492980767041445,0.0,0.0,0.0
2,-2.0,0.32442911714315414,-1.0,-0.1,0.0
3,-2.0,0.2528196722269058,-0.6666666666666666,-0.07071067811865475,0.0
4,-2.0,0.16416184604167938,-0.5,-0.05773502691896258,0.0
5,-1.6,0.2569725885987282,0.0,0.0,0.2
6,-0.9333333333333333,0.6136679425835609,0.16666666666666666,0.013736056394868901,0.3333333333333333
7,-0.761904761904762,0.4288787394762039,0.14285714285714285,0.01270001270001905,0.2857142857142857
8,-0.6785714285714286,-0.019179842434823513,0.375,0.030779350562554625,0.375
9,-0.36111111111111116,0.013896452030166984,0.4444444444444444,0.03813850356982369,0.4444444444444444
10,-0.3111111111111111,-0.09681595269648824,0.1,0.006608186004550898,0.4
11,-0.2909090909090909,0.00025062222266569734,0.18181818181818182,0.012403473458920847,0.45454545454545453
12,-0.25757575757575757,0.033002445474267006,-0.08333333333333333,-0.005031546054266276,0.4166666666666667
13,-0.2435897435897435,0.01032415110967122,0.0,0.0,0.46153846153846156
14,-0.21978021978021978,0.0005220019957050681,-0.07142857142857142,-0.004522156316461345,0.42857142857142855
15,-0.20952380952380956,0.00518795580137521,0.0,0.0,0.4666666666666667
16,-0.06666666666666665,0.0019445680954959244,0.0625,0.004113450348948636,0.5
17,-0.05882352941176472,0.001420770786353387,0.0,0.0,0.47058823529411764
18,-0.05882352941176472,-0.07513909877161495,0.16666666666666666,0.01036951694730425,0.5
19,-0.052631578947368474,-0.0038427371182478964,0.10526315789473684,0.006637233115999719,0.47368421052631576
20,-0.15263157894736845,0.04304950896766968,0.1,0.006468462273531509,0.45
21,-0.24285714285714288,-0.04062980448361486,0.09523809523809523,0.0063119440309780325,0.42857142857142855
22,-0.23376623376623384,0.004109213405172341,0.13636363636363635,0.00917555625309924,0.45454545454545453
23,-0.31225296442687756,-0.035897238335262927,0.08695652173913043,0.005907961912673911,0.43478260869565216
24,-0.21376811594202905,0.005321789416484535,0.125,0.008606629658238704,0.4583333333333333
25,-0.20333333333333337,-0.035542649045964936,0.0,0.0,0.44
26,-0.27384615384615385,0.0040789940394461155,-0.07692307692307693,-0.004908806936738159,0.4230769230769231
27,-0.3390313390313391,-0.02751167124370113,-0.18518518518518517,-0.011334401336131951,0.4074074074074074
28,-0.39947089947089953,0.012422602740116417,-0.17857142857142858,-0.01112760868680583,0.39285714285714285
29,-0.3866995073891626,0.015144104254432023,-0.13793103448275862,-0.008667027800348791,0.41379310344827586
30,-0.37241379310344824,-0.050217632786370814,-0.13333333333333333,-0.0085202864568461,0.4
31,-0.4258064516129032,0.05544010642915964,-0.12903225806451613,-0.008380754741901125,0.3870967741935484
32,-0.47580645161290325,0.0036622873158194125,-0.125,-0.008247860988423224,0.375
33,-0.5227272727272727,-0.07457000075373799,-0.12121212121212122,-0.008121095041071558,0.36363636363636365
34,-0.5668449197860962,0.0747748906724155,-0.20588235294117646,-0.013293003075336615,0.35294117647058826
35,-0.6084033613445378,-0.028147740405984223,-0.2,-0.013098420799889593,0.34285714285714286
36,-0.6476190476190476,0.007062418619170785,-0.19444444444444445,-0.012912140616401308,0.3333333333333333
37,-0.6846846846846847,-0.020119661930948496,-0.1891891891891892,-0.012733588469648347,0.32432432432432434
38,-0.7197724039829303,-0.036995656322687864,-0.18421052631578946,-0.012562244381357196,0.3157894736842105
39,-0.7530364372469636,-0.06102016777731478,-0.1794871794871795,-0.012397636072076753,0.3076923076923077
40,-0.7846153846153846,0.053499932400882244,-0.175,-0.012239333479034133,0.3
41,-0.8146341463414635,0.01213105395436287,-0.17073170731707318,-0.012086944024924485,0.2926829268292683
42,-0.843205574912892,0.08517594449222088,-0.16666666666666666,-0.011940108519022281,0.2857142857142857
43,-0.8704318936877077,0.0230015164706856,-0.16279069767441862,-0.011798497593106739,0.27906976744186046
44,-0.8964059196617337,0.04726401809602976,-0.1590909090909091,-0.01166180859164168,0.2727272727272727
45,-0.9212121212121213,0.022171416552737355,-0.15555555555555556,-0.01152976284933519,0.26666666666666666
46,-0.9449275362318841,0.03774294210597873,-0.15217391304347827,-0.011402103300312633,0.2608695652173913
47,-0.967622571692877,0.02554074442014098,-0.14893617021276595,-0.011278592372199407,0.2553191489361702
48,-0.9893617021276596,0.1037122868001461,-0.14583333333333334,-0.011159010125838411,0.25
49,-1.010204081632653,0.10494301654398441,-0.14285714285714285,-0.011043152607484653,0.24489795918367346
50,-1.030204081632653,0.026089045451954007,-0.14,-0.010930830385378938,0.24
51,-1.0494117647058823,0.0148146185092628,-0.13725490196078433,-0.010821867246804362,0.23529411764705882
52,-1.0678733031674208,0.30215372145175934,-0.1346153846153846,-0.010716099035233254,0.23076923076923078
53,-1.0856313497822931,0.11064389999955893,-0.1320754716981132,-0.010613372610104647,0.22641509433962265
54,-1.1027253668763102,0.016144566936418414,-0.12962962962962962,-0.010513544914236062,0.2222222222222222
55,-1.1191919191919193,-0.0007460350170731544,-0.12727272727272726,-0.01041648213595041,0.21818181818181817
56,-1.135064935064935,-0.02953938627615571,-0.125,-0.010322058954755537,0.21428571428571427
57,-1.150375939849624,0.04208191018551588,-0.12280701754385964,-0.010230157860904913,0.21052631578947367
58,-1.1651542649727769,0.030472673010081053,-0.1206896551724138,-0.010140668540437037,0.20689655172413793
59,-1.179427235534775,0.018385198432952166,-0.11864406779661017,-0.010053487318374958,0.2033898305084746
