episode,training_reward,training_loss,expected_return,sharpe_ratio,win_rate
1,-1.0,,-2.0,0.0,0.0
2,-2.0,,-1.5,-0.3,0.0
3,-1.3333333333333335,,0.0,0.0,0.3333333333333333
4,-0.8333333333333334,,-0.5,-0.024253562503633298,0.25
5,-1.1,,-0.4,-0.021566554640687685,0.2
6,-1.8666666666666667,,-0.3333333333333333,-0.0196116135138184,0.16666666666666666
7,-1.380952380952381,,-0.2857142857142857,-0.018107149208503707,0.14285714285714285
8,-1.4642857142857144,,-0.25,-0.01690308509457033,0.125
9,-1.5277777777777777,,-0.2222222222222222,-0.0159111456835146,0.1111111111111111
10,-2.3555555555555556,,-0.2,-0.01507556722888818,0.1
11,-1.6181818181818182,,-0.18181818181818182,-0.014359163172354764,0.09090909090909091
12,-1.6515151515151514,,-0.16666666666666666,-0.013736056394868901,0.08333333333333333
13,-1.6794871794871795,,-0.15384615384615385,-0.013187609467915737,0.07692307692307693
14,-2.5494505494505493,,-0.35714285714285715,-0.026612314770617474,0.07142857142857142
15,-1.5904761904761906,,-0.13333333333333333,-0.0086386842558136,0.13333333333333333
16,-1.4833333333333334,,-0.125,-0.008362420100070909,0.125
17,-1.5147058823529411,,-0.11764705882352941,-0.008111071056538126,0.11764705882352941
18,-1.5424836601307188,,-0.2777777777777778,-0.017845765256206243,0.1111111111111111
19,-1.5672514619883042,,-0.3157894736842105,-0.020726656075604002,0.10526315789473684
20,-2.378947368421053,,-0.45,-0.028193917035448733,0.1
21,-1.6095238095238096,,-0.42857142857142855,-0.0274625188963809,0.09523809523809523
22,-1.5367965367965368,,-0.3181818181818182,-0.019806914224100247,0.13636363636363635
23,-1.466403162055336,,-0.43478260869565216,-0.026135418674465838,0.13043478260869565
24,-2.2282608695652173,,-0.5416666666666666,-0.031726196096619697,0.125
25,-1.51,,-0.52,-0.0310228073937176,0.12
26,-1.5292307692307692,,-0.5384615384615384,-0.032708851946119846,0.11538461538461539
27,-1.5470085470085468,,-0.5185185185185185,-0.03203401333693928,0.1111111111111111
28,-1.5634920634920635,,-0.5,-0.03139929128113796,0.10714285714285714
29,-1.5788177339901477,,-0.4827586206896552,-0.030800862436222494,0.10344827586206896
30,-1.5931034482758621,,-0.4666666666666667,-0.0302353948953476,0.1
31,-1.6064516129032258,,-0.45161290322580644,-0.029699969845454095,0.0967741935483871
32,-1.6189516129032258,,-0.4375,-0.02919201796799047,0.09375
33,-1.6306818181818181,,-0.42424242424242425,-0.028709267411827166,0.09090909090909091
34,-1.641711229946524,,-0.5,-0.03290596523080125,0.08823529411764706
35,-1.5949579831932774,,-0.42857142857142855,-0.02757054832851779,0.11428571428571428
36,-1.5492063492063493,,-0.4722222222222222,-0.03038137236284156,0.1111111111111111
37,-2.3393393393393396,,-0.4594594594594595,-0.029930690757566002,0.10810810810810811
38,-1.57325746799431,,-0.4473684210526316,-0.029499488356736703,0.10526315789473684
39,-2.373819163292848,,-0.4358974358974359,-0.02908640121023908,0.10256410256410256
40,-2.38974358974359,,-0.425,-0.028690195435993653,0.1
41,-1.604878048780488,,-0.4146341463414634,-0.028309751695179287,0.0975609756097561
42,-1.5667828106852497,,-0.3333333333333333,-0.021674839277792138,0.11904761904761904
43,-1.5293466223698782,,-0.3953488372093023,-0.025147268645920755,0.11627906976744186
44,-1.540169133192389,,-0.45454545454545453,-0.028375217691958287,0.11363636363636363
45,-1.5505050505050506,,-0.4444444444444444,-0.028033098596050243,0.1111111111111111
46,-1.5603864734299517,,-0.45652173913043476,-0.029074273825925347,0.10869565217391304
47,-1.5698427382053655,,-0.44680851063829785,-0.0287374789539586,0.10638297872340426
48,-1.5789007092198581,,-0.4791666666666667,-0.030826003640580385,0.10416666666666667
49,-2.379251700680272,,-0.5102040816326531,-0.032843600679988025,0.10204081632653061
50,-1.5959183673469388,,-0.56,-0.03551424026022888,0.1
51,-1.603921568627451,,-0.5686274509803921,-0.036392436698013196,0.09803921568627451
52,-1.6116138763197587,,-0.5576923076923077,-0.035995001279138676,0.09615384615384616
53,-1.6190130624092889,,-0.5849056603773585,-0.03780487804878048,0.09433962264150944
54,-1.626135569531796,,-0.5740740740740741,-0.03740373191875368,0.09259259259259259
55,-1.632996632996633,,-0.5636363636363636,-0.037015090288138756,0.09090909090909091
56,-1.6396103896103895,,-0.5892857142857143,-0.03874317707434331,0.08928571428571429
57,-1.6459899749373434,,-0.6140350877192983,-0.04042530036109753,0.08771929824561403
58,-1.6521476104053237,,-0.6551724137931034,-0.04261332388154438,0.08620689655172414
59,-1.6580946814728228,,-0.6440677966101694,-0.042185781113706154,0.0847457627118644
60,-2.461016949152542,,-0.5833333333333334,-0.036821711071026,0.1
61,-1.6032786885245902,,-0.6229508196721312,-0.03891351622465442,0.09836065573770492
62,-1.609730301427816,,-0.6612903225806451,-0.040924359836852574,0.0967741935483871
63,-1.6159754224270353,,-0.6666666666666666,-0.0415739709641549,0.09523809523809523
64,-1.5907738095238095,,-0.609375,-0.036826883510365706,0.109375
65,-1.5658653846153845,,-0.6307692307692307,-0.038209446288218436,0.1076923076923077
66,-1.5724941724941726,,-0.6363636363636364,-0.03882901373576604,0.10606060606060606
67,-1.578923563998191,,-0.6716417910447762,-0.040664495274061505,0.1044776119402985
68,-1.5851624231782266,,-0.6617647058823529,-0.040315395148279955,0.10294117647058823
69,-1.591219096334186,,-0.6811594202898551,-0.041601066085705685,0.10144927536231885
70,-1.5971014492753624,,-0.6714285714285714,-0.04125188353742849,0.1
71,-1.5746478873239438,,-0.647887323943662,-0.03979441254961727,0.11267605633802817
72,-1.5524256651017214,,-0.6666666666666666,-0.04103913408340616,0.1111111111111111
73,-1.5585996955859969,,-0.684931506849315,-0.0422607314679178,0.1095890410958904
74,-1.564605701592003,,-0.7162162162162162,-0.04389168104912228,0.10810810810810811
75,-1.5704504504504504,,-0.7466666666666667,-0.04547588286026273,0.10666666666666667
76,-1.576140350877193,,-0.7631578947368421,-0.046610784466935284,0.10526315789473684
77,-1.5816814764183185,,-0.7532467532467533,-0.046241937746044195,0.1038961038961039
78,-1.587079587079587,,-0.7435897435897436,-0.045881711108761346,0.10256410256410256
79,-1.5923401493021747,,-0.7341772151898734,-0.04552977394523354,0.10126582278481013
80,-1.5974683544303798,,-0.7375,-0.04601657741425317,0.1
81,-1.6024691358024692,,-0.7283950617283951,-0.04567198276391914,0.09876543209876543
82,-1.607347184582957,,-0.7560975609756098,-0.04712138727406233,0.0975609756097561
83,-1.6121069644431385,,-0.7831325301204819,-0.04853449990102179,0.0963855421686747
84,-1.6167527251864602,,-0.7738095238095238,-0.04817723509533971,0.09523809523809523
85,-1.5977591036414567,,-0.7294117647058823,-0.04426764954325934,0.10588235294117647
86,-2.3671682626538986,,-0.7209302325581395,-0.04395947167345131,0.10465116279069768
87,-1.5608126169473402,,-0.6896551724137931,-0.041642574923301444,0.11494252873563218
88,-1.5428422152560084,,-0.7045454545454546,-0.04263409402276151,0.11363636363636363
89,-1.5480081716036773,,-0.6966292134831461,-0.042350675247457864,0.11235955056179775
90,-1.5530586766541823,,-0.6888888888888889,-0.04207283460036456,0.1111111111111111
91,-1.557997557997558,,-0.6923076923076923,-0.042507450702209425,0.10989010989010989
92,-1.5628284758719542,,-0.6847826086956522,-0.04223434688291828,0.10869565217391304
93,-1.5675549322113138,,-0.6774193548387096,-0.04196644026631516,0.10752688172043011
94,-1.5509036833676504,,-0.6382978723404256,-0.038700818724480265,0.11702127659574468
95,-1.5343784994400895,,-0.631578947368421,-0.03846628065235379,0.11578947368421053
96,-1.5392543859649122,,-0.6354166666666666,-0.03889297001241799,0.11458333333333333
97,-1.5440292096219932,,-0.6288659793814433,-0.03866183761535729,0.1134020618556701
98,-1.5282979171049864,,-0.6122448979591837,-0.03764142099213717,0.12244897959183673
99,-1.512677798392084,,-0.6161616161616161,-0.038064086725313986,0.12121212121212122
100,-1.5175757575757576,,-0.61,-0.0378458810506316,0.12
101,-2.58,,-0.59,-0.009470274476207567,0.07
102,-1.72,,-0.58,-0.009470274476207569,0.07
103,-1.72,,-0.61,-0.009470274476207569,0.07
104,-1.72,,-0.58,-0.010898887361126122,0.07
105,-1.72,,-0.58,-0.010898887361126122,0.07
106,-1.72,,-0.59,-0.012038585308576922,0.07
107,-1.72,,-0.59,-0.012038585308576922,0.07
108,-1.72,,-0.59,-0.01203858530857692,0.07
109,-1.72,,-0.59,-0.012038585308576922,0.07
110,-2.58,,-0.61,-0.014087457181287885,0.07
111,-1.72,,-0.63,-0.01605487695908906,0.07
112,-1.72,,-0.65,-0.017951484354608006,0.07
113,-1.72,,-0.65,-0.017951484354608006,0.07
114,-2.58,,-0.64,-0.019786194053145946,0.07
115,-2.58,,-0.68,-0.018993524246449418,0.07
116,-2.58,,-0.69,-0.02002969563625049,0.07
117,-2.58,,-0.71,-0.021821789023599242,0.07
118,-1.72,,-0.69,-0.022832832054909713,0.07
119,-1.74,,-0.69,-0.026792656841346386,0.06
120,-1.76,,-0.68,-0.02849753608139194,0.06
121,-1.76,,-0.71,-0.030468976656101036,0.06
122,-1.76,,-0.75,-0.030468976656101036,0.06
123,-1.76,,-0.72,-0.030468976656101036,0.06
124,-1.76,,-0.69,-0.030468976656101033,0.06
125,-1.76,,-0.69,-0.030468976656101033,0.06
